pkey,Occupation_42,Is_student,activity_type,INSEE,AGE_2018,DEGREE,SEX,household_type,target
136,"csp_3_3",FALSE,"TACT1-1","01035",64,"hd.1.7","Female","ft12","I"
137,"csp_7_2",FALSE,"TACT2-1","01036",78,"hd.2","Male","ft43","I"
138,"csp_8_4",TRUE,"TACT2-2","01036",22,"hd.1.7","Female","ft41","N"
139,"csp_7_5",FALSE,"TACT2-1","01037",61,"hd.1.3","Male","ft11","I"
141,"csp_8_5",FALSE,"TACT2-5","01039",53,"hd.1.7","Female","ft42","I"
146,"csp_8_4",TRUE,"TACT2-2","01043",15,"hd.1.2","Male","ft43","N"
148,"csp_8_1",FALSE,"TACT1-2","01043",20,"hd.1.2","Female","ft32","N"
152,"csp_8_5",FALSE,"TACT2-5","01043",33,"hd.3","Male","ft44","I"
157,"csp_3_7",FALSE,"TACT1-1","01047",58,"hd.1.7","Female","ft43","N"
158,"csp_7_7",FALSE,"TACT2-1","01047",66,"hd.1.6","Male","ft44","I"
161,"csp_6_7",FALSE,"TACT1-1","01049",48,"hd.3","Female","ft43","I"
163,"csp_4_7",FALSE,"TACT1-1","01049",60,"hd.1.6","Male","ft41","N"
167,"csp_8_5",FALSE,"TACT2-5","01049",31,"hd.1.5","Female","ft42","I"
168,"csp_8_4",TRUE,"TACT2-2","01053",19,"hd.1.2","Female","ft41","I"
170,"csp_3_4",FALSE,"TACT1-1","01053",66,"hd.1.8","Male","ft11","I"
171,"csp_6_2",FALSE,"TACT1-1","01053",28,"hd.3","Male","ft41","N"
172,"csp_3_1",FALSE,"TACT1-1","01053",61,"hd.1.8","Male","ft41","N"
174,"csp_5_2",FALSE,"TACT1-1","01053",47,"hd.1.7","Female","ft41","N"
175,"csp_6_5",FALSE,"TACT1-1","01053",38,"hd.1.5","Male","ft41","N"
178,"csp_5_5",FALSE,"TACT1-1","01053",38,"hd.1.5","Female","ft41","N"
179,"csp_7_4",FALSE,"TACT2-1","01053",64,"hd.1.7","Female","ft44","I"
183,"csp_4_8",FALSE,"TACT1-1","01053",57,"hd.1.3","Male","ft41","I"
185,"csp_4_6",FALSE,"TACT1-1","01053",36,"hd.1.6","Female","ft41","N"
190,"csp_8_5",TRUE,"TACT2-2","01053",16,"hd.3","Male","ft32","I"
191,"csp_7_7",FALSE,"TACT2-1","01053",85,"hd.1.1","Female","ft12","I"
194,"csp_8_4",TRUE,"TACT2-2","01053",37,"hd.1.2","Female","ft42","I"
195,"csp_7_5",FALSE,"TACT2-1","01053",79,"hd.1.3","Female","ft44","N"
201,"csp_7_8",FALSE,"TACT2-1","01053",73,"hd.1.4","Female","ft44","I"
203,"csp_4_8",FALSE,"TACT1-1","01053",42,"hd.1.3","Male","ft41","I"
206,"csp_6_4",FALSE,"TACT1-1","01053",47,"hd.3","Male","ft42","I"
208,"csp_6_8",FALSE,"TACT1-1","01053",23,"hd.1.3","Male","ft41","N"
210,"csp_6_7",TRUE,"TACT1-2","01053",29,"hd.1.8","Male","ft42","I"
212,"csp_3_3",FALSE,"TACT1-1","01053",24,"hd.1.6","Male","ft32","N"
213,"csp_6_7",FALSE,"TACT1-1","01053",47,"hd.1.3","Male","ft11","I"
214,"csp_7_5",FALSE,"TACT2-1","01053",76,"hd.1.7","Male","ft44","I"
215,"csp_6_7",FALSE,"TACT1-1","01053",51,"hd.2","Male","ft11","I"
217,"csp_6_8",FALSE,"TACT1-1","01053",26,"hd.1.3","Male","ft41","N"
218,"csp_7_5",FALSE,"TACT2-1","01053",59,"hd.1.7","Female","ft44","I"
220,"csp_6_3",FALSE,"TACT1-1","01053",21,"hd.1.5","Male","ft41","N"
221,"csp_7_7",FALSE,"TACT2-1","01053",76,"hd.1.3","Female","ft44","N"
223,"csp_7_8",FALSE,"TACT2-1","01053",80,"hd.1.1","Male","ft11","I"
224,"csp_6_7",FALSE,"TACT1-1","01053",60,"hd.1.2","Female","ft43","N"
225,"csp_4_3",FALSE,"TACT1-1","01053",45,"hd.1.7","Female","ft41","I"
227,"csp_3_4",FALSE,"TACT1-1","01053",55,"hd.1.7","Female","ft41","I"
228,"csp_4_3",FALSE,"TACT1-1","01053",38,"hd.1.6","Female","ft41","N"
229,"csp_7_7",FALSE,"TACT2-1","01053",90,"hd.1.3","Female","ft44","I"
230,"csp_5_5",FALSE,"TACT1-1","01053",58,"hd.1.3","Female","ft43","N"
231,"csp_8_4",TRUE,"TACT2-2","01053",21,"hd.1.2","Male","ft44","N"
232,"csp_5_3",FALSE,"TACT1-1","01053",37,"hd.1.3","Male","ft41","I"
235,"csp_1_1",FALSE,"TACT1-1","01053",31,"hd.1.5","Male","ft41","I"
237,"csp_7_1",FALSE,"TACT2-1","01053",74,"hd.3","Male","ft44","I"
238,"csp_7_8",FALSE,"TACT2-1","01053",66,"hd.1.3","Male","ft43","I"
244,"csp_8_4",TRUE,"TACT2-2","01054",18,"hd.3","Male","ft43","I"
246,"csp_7_5",FALSE,"TACT2-1","01056",71,"hd.1.8","Male","ft41","I"
247,"csp_1_1",FALSE,"TACT1-1","01058",34,"hd.1.8","Female","ft41","I"
248,"csp_2_1",FALSE,"TACT1-1","01058",60,"hd.3","Male","ft20","I"
249,"csp_7_8",FALSE,"TACT2-1","01058",65,"hd.1.3","Female","ft44","N"
250,"csp_6_8",FALSE,"TACT1-1","01058",59,"hd.1.7","Female","ft41","I"
251,"csp_7_7",FALSE,"TACT2-1","01060",59,"hd.1.2","Male","ft44","N"
253,"csp_3_5",FALSE,"TACT1-2","01060",37,"hd.1.2","Male","ft11","N"
254,"csp_6_8",FALSE,"TACT1-1","01061",29,"hd.1.3","Male","ft31","I"
255,"csp_5_2",FALSE,"TACT1-1","01061",46,"hd.1.5","Male","ft11","N"
257,"csp_6_4",FALSE,"TACT1-1","01068",44,"hd.1.4","Male","ft11","N"
259,"csp_8_5",FALSE,"TACT2-4","01068",49,"hd.2","Female","ft41","I"
261,"csp_7_2",FALSE,"TACT2-1","01071",91,"hd.3","Male","ft41","I"
263,"csp_5_2",FALSE,"TACT1-1","01071",30,"hd.1.3","Female","ft12","N"
264,"csp_7_7",FALSE,"TACT2-1","01071",91,"hd.1.1","Female","ft12","I"
265,"csp_1_1",FALSE,"TACT1-1","01071",31,"hd.1.5","Male","ft41","N"
268,"csp_7_5",FALSE,"TACT2-1","01072",90,"hd.1.4","Female","ft12","I"
271,"csp_8_5",FALSE,"TACT2-4","01072",47,"hd.1.8","Female","ft42","N"
273,"csp_4_3",FALSE,"TACT1-1","01073",43,"hd.1.6","Female","ft41","N"
274,"csp_8_5",FALSE,"TACT2-5","01073",25,"hd.1.3","Male","ft41","I"
276,"csp_5_2",FALSE,"TACT1-1","01074",55,"hd.1.6","Female","ft41","N"
278,"csp_5_2",FALSE,"TACT1-1","01075",62,"hd.1.1","Female","ft12","N"
280,"csp_8_6",FALSE,"TACT2-4","01075",78,"hd.2","Female","ft44","I"
281,"csp_6_2",FALSE,"TACT1-2","01075",44,"hd.1.7","Female","ft42","I"
282,"csp_8_5",FALSE,"TACT2-5","01079",35,"hd.1.6","Female","ft32","I"
283,"csp_6_7",FALSE,"TACT1-2","01081",57,"hd.1.1","Female","ft12","I"
285,"csp_7_7",FALSE,"TACT2-1","01088",74,"hd.1.4","Male","ft44","I"
288,"csp_8_5",FALSE,"TACT2-4","01089",44,"hd.1.2","Female","ft32","N"
289,"csp_7_7",FALSE,"TACT2-1","01089",81,"hd.1.3","Female","ft12","N"
290,"csp_1_1",FALSE,"TACT1-1","01089",58,"hd.1.3","Male","ft11","N"
291,"csp_7_7",FALSE,"TACT2-1","01092",85,"hd.1.4","Female","ft20","I"
292,"csp_3_7",FALSE,"TACT1-1","01092",58,"hd.1.7","Female","ft12","I"
294,"csp_4_5",FALSE,"TACT1-1","01092",46,"hd.1.4","Female","ft41","N"
296,"csp_7_8",FALSE,"TACT2-1","01092",68,"hd.1.1","Female","ft44","I"
297,"csp_5_5",FALSE,"TACT1-1","01092",29,"hd.1.5","Male","ft41","N"
299,"csp_7_8",FALSE,"TACT2-1","01093",73,"hd.1.1","Female","ft12","I"
301,"csp_5_2",FALSE,"TACT1-1","01093",50,"hd.1.2","Female","ft41","N"
302,"csp_5_2",FALSE,"TACT1-1","01093",20,"hd.1.5","Female","ft12","N"
307,"csp_4_2",FALSE,"TACT1-1","01093",63,"hd.1.3","Female","ft41","N"
308,"csp_6_3",FALSE,"TACT1-2","01093",21,"hd.1.3","Male","ft42","I"
309,"csp_6_7",FALSE,"TACT1-1","01096",22,"hd.1.3","Female","ft20","I"
311,"csp_7_5",FALSE,"TACT2-1","01099",66,"hd.1.3","Female","ft42","N"
315,"csp_2_3",FALSE,"TACT1-1","01103",54,"hd.1.5","Male","ft41","N"
316,"csp_7_7",FALSE,"TACT2-1","01105",71,"hd.1.1","Female","ft44","I"
317,"csp_5_6",FALSE,"TACT1-1","01108",61,"hd.1.3","Male","ft11","N"
321,"csp_7_7",FALSE,"TACT2-1","01109",76,"hd.1.2","Female","ft12","N"
323,"csp_8_5",FALSE,"TACT2-5","01109",61,"hd.2","Female","ft12","I"
325,"csp_8_4",TRUE,"TACT2-2","01112",19,"hd.1.2","Female","ft41","I"
326,"csp_8_1",FALSE,"TACT1-2","01113",18,"hd.1.2","Male","ft32","N"
327,"csp_3_3",FALSE,"TACT1-1","01114",49,"hd.1.8","Male","ft41","I"
330,"csp_6_3",FALSE,"TACT1-1","01123",45,"hd.1.6","Male","ft41","N"
331,"csp_8_6",FALSE,"TACT2-4","01124",83,"hd.1.8","Male","ft44","I"
333,"csp_7_7",FALSE,"TACT2-1","01130",88,"hd.1.1","Female","ft44","I"
334,"csp_5_2",FALSE,"TACT1-1","01130",46,"hd.1.5","Female","ft41","N"
336,"csp_4_6",FALSE,"TACT1-1","01130",55,"hd.1.3","Female","ft43","N"
337,"csp_7_4",FALSE,"TACT2-1","01134",67,"hd.1.3","Male","ft43","I"
338,"csp_5_3",TRUE,"TACT1-1","01134",19,"hd.1.5","Male","ft11","N"
340,"csp_4_7",FALSE,"TACT1-1","01134",54,"hd.1.7","Male","ft42","I"
343,"csp_8_5",FALSE,"TACT2-4","01134",56,"hd.1.7","Female","ft44","I"
344,"csp_6_9",FALSE,"TACT1-1","01135",38,"hd.3","Male","ft41","I"
345,"csp_1_1",FALSE,"TACT1-1","01135",57,"hd.1.4","Female","ft41","N"
346,"csp_3_8",FALSE,"TACT1-1","01135",51,"hd.1.4","Male","ft41","I"
349,"csp_6_4",FALSE,"TACT1-2","01136",31,"hd.1.3","Male","ft43","I"
351,"csp_8_4",TRUE,"TACT2-2","01138",21,"hd.1.4","Male","ft32","N"
352,"csp_6_9",FALSE,"TACT1-1","01138",36,"hd.1.5","Male","ft11","I"
355,"csp_6_8",FALSE,"TACT1-1","01140",26,"hd.1.5","Male","ft31","I"
362,"csp_6_7",FALSE,"TACT1-1","01142",23,"hd.1.3","Male","ft42","I"
364,"csp_5_3",FALSE,"TACT1-1","01142",22,"hd.1.3","Male","ft41","N"
366,"csp_6_8",TRUE,"TACT1-1","01143",20,"hd.3","Male","ft41","N"
367,"csp_6_8",FALSE,"TACT1-1","01143",39,"hd.1.3","Male","ft41","N"
370,"csp_4_6",FALSE,"TACT1-1","01143",28,"hd.1.8","Male","ft41","I"
371,"csp_6_7",FALSE,"TACT1-1","01143",59,"hd.3","Male","ft41","I"
373,"csp_8_5",FALSE,"TACT2-5","01143",46,"hd.1.2","Male","ft11","I"
374,"csp_7_4",FALSE,"TACT2-1","01143",70,"hd.1.6","Male","ft44","I"
381,"csp_8_4",TRUE,"TACT2-2","01143",16,"hd.3","Female","ft41","N"
382,"csp_7_8",FALSE,"TACT2-1","01143",71,"hd.1.3","Male","ft44","I"
383,"csp_6_7",FALSE,"TACT1-1","01143",32,"hd.1.6","Male","ft11","I"
385,"csp_8_4",TRUE,"TACT2-2","01146",17,"hd.1.4","Female","ft41","N"
387,"csp_5_5",FALSE,"TACT1-1","01149",55,"hd.1.5","Male","ft11","N"
390,"csp_7_4",FALSE,"TACT2-1","01153",65,"hd.1.2","Male","ft44","N"
394,"csp_7_5",FALSE,"TACT2-1","01156",88,"hd.1.8","Male","ft43","I"
398,"csp_7_8",FALSE,"TACT2-1","01157",67,"hd.1.3","Male","ft11","N"
404,"csp_5_3",FALSE,"TACT1-1","01159",49,"hd.1.3","Male","ft11","N"
407,"csp_8_5",FALSE,"TACT2-4","01159",45,"hd.1","Female","ft44","I"
412,"csp_6_7",FALSE,"TACT1-1","01160",53,"hd.1.3","Male","ft11","I"
413,"csp_7_5",FALSE,"TACT2-1","01160",67,"hd.1.6","Female","ft12","I"
416,"csp_4_6",FALSE,"TACT1-1","01160",29,"hd.1.8","Male","ft11","I"
419,"csp_7_8",FALSE,"TACT2-1","01160",81,"hd.1.1","Female","ft12","I"
421,"csp_8_5",FALSE,"TACT2-5","01162",60,"hd.1.2","Male","ft43","N"
422,"csp_3_7",FALSE,"TACT1-1","01163",54,"hd.1.4","Male","ft41","I"
425,"csp_7_8",FALSE,"TACT2-1","01165",84,"hd.1.3","Female","ft44","N"
431,"csp_3_3",FALSE,"TACT1-1","01171",46,"hd.1.8","Male","ft41","I"
432,"csp_5_6",FALSE,"TACT1-1","01173",32,"hd.1.5","Male","ft41","I"
438,"csp_7_7",FALSE,"TACT2-1","01173",91,"hd.2","Female","ft12","I"
439,"csp_4_3",FALSE,"TACT1-1","01173",50,"hd.1.7","Female","ft41","I"
441,"csp_7_7",FALSE,"TACT2-1","01173",76,"hd.1.5","Female","ft44","I"
442,"csp_7_7",FALSE,"TACT2-1","01173",69,"hd.1.3","Male","ft44","I"
444,"csp_6_7",FALSE,"TACT1-1","01173",60,"hd.1.3","Male","ft41","I"
445,"csp_7_8",FALSE,"TACT2-1","01173",66,"hd.1.3","Male","ft44","I"
446,"csp_8_4",TRUE,"TACT2-2","01173",29,"hd.1.7","Male","ft20","I"
449,"csp_8_4",TRUE,"TACT2-2","01173",16,"hd.1.2","Male","ft32","I"
451,"csp_7_8",FALSE,"TACT2-1","01173",68,"hd.1.3","Male","ft11","I"
458,"csp_5_2",FALSE,"TACT1-2","01181",26,"hd.1.2","Female","ft44","N"
459,"csp_8_6",FALSE,"TACT2-5","01181",76,"hd.1","Female","ft41","I"
460,"csp_6_8",FALSE,"TACT1-1","01181",39,"hd.1.3","Female","ft41","N"
461,"csp_4_3",FALSE,"TACT1-1","01181",57,"hd.1.6","Male","ft41","N"
462,"csp_8_4",TRUE,"TACT2-2","01184",19,"hd.1.2","Female","ft42","I"
463,"csp_4_7",FALSE,"TACT1-1","01184",59,"hd.1.3","Male","ft20","I"
464,"csp_7_8",FALSE,"TACT2-1","01184",81,"hd.1.3","Female","ft12","N"
465,"csp_7_7",FALSE,"TACT2-1","01184",63,"hd.1.4","Female","ft44","N"
466,"csp_5_5",FALSE,"TACT1-1","01185",55,"hd.1.1","Female","ft41","N"
468,"csp_5_2",FALSE,"TACT1-1","01185",25,"hd.1.5","Female","ft41","N"
469,"csp_7_7",FALSE,"TACT2-1","01185",79,"hd.1.4","Male","ft11","I"
470,"csp_8_5",TRUE,"TACT2-2","01185",15,"hd.3","Male","ft31","I"
472,"csp_5_4",FALSE,"TACT1-2","01187",35,"hd.1.6","Female","ft42","I"
473,"csp_7_8",FALSE,"TACT2-1","01188",69,"hd.1.1","Female","ft44","I"
475,"csp_8_4",TRUE,"TACT2-2","01190",20,"hd.1.6","Male","ft42","N"
476,"csp_7_7",FALSE,"TACT2-1","01192",70,"hd.1.3","Female","ft44","N"
479,"csp_5_2",FALSE,"TACT1-1","01194",61,"hd.1.4","Female","ft43","I"
482,"csp_2_1",FALSE,"TACT1-1","01194",51,"hd.1.3","Female","ft43","N"
484,"csp_5_5",TRUE,"TACT1-1","01194",21,"hd.1.3","Female","ft41","I"
485,"csp_8_4",TRUE,"TACT2-2","01195",18,"hd.3","Male","ft42","N"
487,"csp_5_2",FALSE,"TACT1-1","01195",35,"hd.1.3","Female","ft41","N"
490,"csp_2_1",FALSE,"TACT1-1","01195",43,"hd.1.6","Male","ft41","N"
492,"csp_8_6",FALSE,"TACT2-5","01199",60,"hd.3","Female","ft12","I"
493,"csp_7_5",FALSE,"TACT2-1","01199",74,"hd.1.7","Male","ft44","I"
496,"csp_7_2",FALSE,"TACT2-1","01202",73,"hd.1.1","Male","ft44","I"
497,"csp_4_7",FALSE,"TACT1-1","01202",40,"hd.1.4","Male","ft41","N"
498,"csp_5_4",FALSE,"TACT1-1","01202",28,"hd.1.7","Male","ft11","N"
499,"csp_6_7",FALSE,"TACT1-1","01202",29,"hd.1.5","Male","ft41","N"
506,"csp_2_3",FALSE,"TACT1-1","01202",57,"hd.1.8","Male","ft41","I"
507,"csp_6_3",FALSE,"TACT1-1","01202",54,"hd.1.3","Male","ft41","N"
509,"csp_5_6",FALSE,"TACT1-1","01202",45,"hd.2","Female","ft32","N"
510,"csp_3_8",FALSE,"TACT1-1","01203",56,"hd.1.3","Male","ft41","I"
512,"csp_7_8",FALSE,"TACT2-1","01204",66,"hd.1.1","Male","ft44","I"
513,"csp_6_2",FALSE,"TACT1-1","01209",56,"hd.1.3","Male","ft41","I"
514,"csp_7_2",FALSE,"TACT2-1","01209",73,"hd.3","Male","ft44","I"
516,"csp_6_2",FALSE,"TACT1-2","01211",63,"hd.1.3","Male","ft44","I"
517,"csp_7_5",FALSE,"TACT2-1","01212",71,"hd.2","Male","ft44","I"
518,"csp_8_6",FALSE,"TACT2-5","01212",76,"hd.1","Female","ft32","I"
520,"csp_5_3",FALSE,"TACT1-1","01212",39,"hd.1.5","Male","ft42","N"
522,"csp_8_4",TRUE,"TACT2-2","01216",16,"hd.1.2","Female","ft43","N"
525,"csp_8_4",TRUE,"TACT2-2","01224",20,"hd.1.1","Female","ft41","N"
528,"csp_6_3",FALSE,"TACT1-2","01227",59,"hd.1.3","Male","ft43","I"
529,"csp_7_7",FALSE,"TACT2-1","01227",76,"hd.1.2","Female","ft44","N"
531,"csp_7_2",FALSE,"TACT2-1","01228",66,"hd.1.4","Male","ft11","I"
532,"csp_8_4",TRUE,"TACT2-2","01229",17,"hd.3","Male","ft41","N"
533,"csp_7_7",FALSE,"TACT2-1","01231",71,"hd.1.2","Female","ft44","N"
534,"csp_8_5",FALSE,"TACT2-5","01231",56,"hd.1","Female","ft32","I"
536,"csp_5_2",FALSE,"TACT1-1","01232",31,"hd.1.3","Female","ft41","N"
537,"csp_7_5",FALSE,"TACT2-1","01232",75,"hd.1.7","Male","ft44","I"
543,"csp_7_8",FALSE,"TACT2-1","01236",74,"hd.1.1","Female","ft44","N"
548,"csp_5_4",FALSE,"TACT1-1","01237",38,"hd.1.5","Female","ft41","N"
549,"csp_5_3",FALSE,"TACT1-1","01238",32,"hd.1.3","Male","ft41","N"
551,"csp_4_3",FALSE,"TACT1-1","01238",56,"hd.1.4","Female","ft41","I"
555,"csp_7_5",FALSE,"TACT2-1","01240",62,"hd.1.7","Male","ft44","I"
556,"csp_8_4",TRUE,"TACT2-2","01240",16,"hd.1.2","Male","ft32","N"
557,"csp_6_3",FALSE,"TACT1-2","01241",37,"hd.1.3","Male","ft44","I"
559,"csp_4_2",FALSE,"TACT1-1","01243",59,"hd.1.6","Male","ft42","I"
560,"csp_3_8",FALSE,"TACT1-1","01243",51,"hd.1.9","Female","ft41","I"
562,"csp_8_4",TRUE,"TACT2-2","01244",19,"hd.1.2","Female","ft41","I"
570,"csp_4_8",FALSE,"TACT1-1","01244",56,"hd.1.3","Male","ft41","N"
572,"csp_7_7",FALSE,"TACT2-1","01244",69,"hd.1.3","Female","ft12","N"
573,"csp_5_6",FALSE,"TACT1-1","01244",25,"hd.1.4","Male","ft42","I"
576,"csp_5_5",FALSE,"TACT1-1","01245",38,"hd.1.5","Female","ft41","N"
577,"csp_7_1",FALSE,"TACT2-1","01245",71,"hd.3","Female","ft44","I"
578,"csp_7_7",FALSE,"TACT2-1","01246",81,"hd.1.3","Female","ft12","I"
579,"csp_7_5",FALSE,"TACT2-1","01246",95,"hd.1.4","Female","ft32","I"
580,"csp_7_4",FALSE,"TACT2-1","01246",70,"hd.1.7","Male","ft11","I"
582,"csp_6_2",FALSE,"TACT1-1","01248",58,"hd.1.3","Male","ft11","I"
585,"csp_2_1",FALSE,"TACT1-1","01248",50,"hd.1.4","Female","ft41","N"
589,"csp_7_7",FALSE,"TACT2-1","01249",81,"hd.2","Female","ft12","N"
590,"csp_7_7",FALSE,"TACT2-1","01249",73,"hd.1.1","Female","ft12","I"
591,"csp_3_8",FALSE,"TACT1-1","01249",55,"hd.1.4","Female","ft12","N"
