pkey,Previous_occupation_42,previous_emp_type,retirement_age
822,"csp_5_2","ec-1-6",61
823,"csp_2_1","ec-2-1",58
839,"csp_5_2","ec-1-6",60
842,"csp_1_1","ec-2-1",58
853,"csp_5_6","ec-1-6",60
862,"csp_5_6","ec-1-6",60
863,"csp_4_5","ec-1-6",60
871,"csp_2_2","ec-2-1",65
884,"csp_5_4","ec-1-6",60
887,"csp_5_6","ec-1-6",60
893,"csp_5_2","ec-1-6",65
899,"csp_5_6","ec-1-5",60
915,"csp_4_5","ec-1-6",60
929,"csp_3_3","ec-1-6",55
941,"csp_2_1","ec-2-1",56
942,"csp_4_2","ec-1-5",60
964,"csp_5_5","ec-1-5",60
966,"csp_6_3","ec-1-6",55
976,"csp_6_7","ec-1-6",60
984,"csp_6_4","ec-1-6",60
996,"csp_6_4","ec-1-6",60
999,"csp_3_1","ec-2-2",60
1002,"csp_3_7","ec-1-6",60
1007,"csp_5_6","ec-1-6",65
1009,"csp_5_5","ec-1-6",60
1013,"csp_5_6","ec-1-6",61
1017,"csp_3_7","ec-1-6",60
1026,"csp_5_6","ec-1-6",60
1031,"csp_6_3","ec-1-6",60
1038,"csp_4_8","ec-1-6",64
1041,"csp_5_4","ec-1-6",65
1047,"csp_4_5","ec-1-6",60
1064,"csp_5_4","ec-1-6",65
1075,"csp_5_5","ec-1-6",67
1085,"csp_5_3","ec-1-6",57
1090,"csp_5_6","ec-1-6",61
1107,"csp_4_5","ec-1-6",60
1108,"csp_5_4","ec-1-6",60
1110,"csp_6_9","ec-1-6",65
1122,"csp_4_3","ec-1-6",62
1129,"csp_5_2","ec-1-6",59
1135,"csp_6_3","ec-1-6",62
1139,"csp_5_4","ec-1-6",60
1145,"csp_6_2","ec-1-6",56
1148,"csp_6_5","ec-1-6",60
1152,"csp_6_3","ec-1-6",63
1155,"csp_4_6","ec-1-6",56
1156,"csp_6_2","ec-1-6",63
1163,"csp_5_2","ec-1-6",61
1166,"csp_5_2","ec-1-6",58
1169,"csp_3_3","ec-1-6",60
1173,"csp_3_8","ec-1-6",59
1175,"csp_4_8","ec-1-6",60
1187,"csp_4_2","ec-2-1",60
1188,"csp_6_8","ec-1-6",56
1208,"csp_5_2","ec-1-6",60
1211,"csp_6_3","ec-1-6",60
1213,"csp_6_7","ec-1-6",60
1216,"csp_6_5","ec-1-6",57
1217,"csp_4_7","ec-1-6",60
1219,"csp_4_8","ec-1-6",60
1233,"csp_2_2","ec-2-1",60
1264,"csp_1_2","ec-2-2",60
1267,"csp_5_2","ec-1-6",57
1293,"csp_5_4","ec-1-6",60
1300,"csp_4_6","ec-1-6",57
1301,"csp_4_6","ec-1-2",67
1306,"csp_5_4","ec-1-6",60
1310,"csp_6_8","ec-1-6",59
1314,"csp_2_2","ec-2-1",59
1330,"csp_5_5","ec-1-6",60
1332,"csp_6_9","ec-1-6",62
1334,"csp_6_3","ec-1-6",55
1350,"csp_4_6","ec-1-6",60
1356,"csp_2_2","ec-2-2",60
1357,"csp_6_7","ec-1-6",60
1360,"csp_4_6","ec-1-6",63
1363,"csp_5_4","ec-1-5",61
1376,"csp_6_2","ec-1-6",63
1378,"csp_6_7","ec-1-6",60
1386,"csp_2_1","ec-2-1",60
1396,"csp_1_1","ec-2-1",64
1414,"csp_6_8","ec-1-6",60
1426,"csp_5_4","ec-1-6",56
1427,"csp_4_7","ec-1-6",60
1443,"csp_1_3","ec-2-2",63
1454,"csp_6_2","ec-1-6",60
1474,"csp_6_7","ec-1-6",67
1477,"csp_3_3","ec-1-6",60
1478,"csp_6_3","ec-1-6",60
1485,"csp_5_5","ec-1-6",60
1498,"csp_4_8","ec-1-6",61
1502,"csp_6_8","ec-1-6",60
1507,"csp_5_6","ec-1-6",60
1514,"csp_5_6","ec-1-5",59
1536,"csp_5_2","ec-1-6",64
1542,"csp_4_3","ec-1-6",60
1544,"csp_6_4","ec-1-6",58
1559,"csp_4_3","ec-1-3",57
1563,"csp_5_4","ec-1-6",65
1567,"csp_4_6","ec-1-6",60
1568,"csp_5_2","ec-1-6",60
1570,"csp_5_2","ec-1-6",58
1572,"csp_3_4","ec-1-6",55
1575,"csp_4_3","ec-1-6",60
1591,"csp_1_1","ec-2-2",60
1593,"csp_4_3","ec-2-1",60
1596,"csp_4_6","ec-1-6",60
1600,"csp_3_8","ec-1-6",60
1613,"csp_1_1","ec-2-1",62
1621,"csp_6_2","ec-1-6",58
1625,"csp_4_3","ec-1-6",64
1626,"csp_2_2","ec-2-2",60
1628,"csp_5_2","ec-1-6",60
1638,"csp_6_2","ec-1-6",60
1649,"csp_2_2","ec-2-1",60
1682,"csp_5_5","ec-1-6",60
1686,"csp_6_8","ec-1-6",60
1696,"csp_4_3","ec-1-6",59
1697,"csp_6_2","ec-1-6",58
1719,"csp_5_6","ec-1-6",60
1723,"csp_5_5","ec-1-6",65
1726,"csp_5_2","ec-1-6",60
1733,"csp_5_4","ec-1-6",60
1736,"csp_6_5","ec-1-6",60
1739,"csp_6_4","ec-1-6",60
1754,"csp_5_2","ec-1-5",60
1769,"csp_5_4","ec-1-6",60
1774,"csp_6_8","ec-1-6",60
1780,"csp_6_3","ec-1-6",59
1789,"csp_6_3","ec-1-6",57
1799,"csp_5_2","ec-1-6",59
1803,"csp_5_3","ec-1-6",60
1808,"csp_4_8","ec-1-6",60
1826,"csp_5_2","ec-1-6",65
1829,"csp_5_2","ec-1-6",51
1836,"csp_5_5","ec-1-6",65
1842,"csp_6_3","ec-1-6",60
1845,"csp_6_3","ec-1-6",60
1850,"csp_5_4","ec-1-6",60
1861,"csp_5_6","ec-1-5",56
1871,"csp_3_7","ec-1-6",60
1876,"csp_3_4","ec-1-6",60
1879,"csp_3_7","ec-1-6",60
1882,"csp_6_8","ec-1-6",63
1883,"csp_6_2","ec-1-6",55
1892,"csp_3_3","ec-1-6",56
1898,"csp_5_2","ec-1-6",61
1899,"csp_4_6","ec-1-6",58
1904,"csp_2_2","ec-2-1",64
1906,"csp_2_1","ec-2-1",65
1907,"csp_5_4","ec-1-6",60
1916,"csp_5_6","ec-1-6",65
1918,"csp_4_2","ec-1-6",60
1933,"csp_4_5","ec-1-6",62
1941,"csp_4_7","ec-1-6",65
1944,"csp_4_6","ec-1-6",61
1945,"csp_3_8","ec-1-6",60
1948,"csp_6_8","ec-1-6",60
1953,"csp_6_7","ec-1-6",60
1956,"csp_4_3","ec-1-6",65
1960,"csp_6_7","ec-1-6",64
1962,"csp_5_6","ec-1-6",59
1973,"csp_2_2","ec-2-2",65
1978,"csp_4_6","ec-1-6",60
1979,"csp_5_6","ec-1-6",60
1981,"csp_6_2","ec-1-6",60
1986,"csp_6_8","ec-1-6",65
1987,"csp_5_6","ec-1-6",60
1989,"csp_6_3","ec-1-6",56
1990,"csp_4_3","ec-1-6",60
1992,"csp_5_2","ec-1-6",65
1995,"csp_5_2","ec-1-6",60
1996,"csp_2_2","ec-2-1",61
2004,"csp_4_7","ec-1-6",58
2015,"csp_4_6","ec-1-6",60
2040,"csp_5_6","ec-1-6",60
2041,"csp_6_8","ec-1-6",60
2044,"csp_2_1","ec-2-1",64
2047,"csp_4_6","ec-1-6",60
2053,"csp_6_8","ec-1-6",60
2059,"csp_4_8","ec-1-6",55
2066,"csp_6_7","ec-1-5",60
2073,"csp_5_6","ec-1-5",60
2077,"csp_2_1","ec-2-2",60
2090,"csp_5_6","ec-1-6",61
2093,"csp_4_8","ec-1-6",60
2097,"csp_5_6","ec-1-6",60
2100,"csp_5_5","ec-1-6",60
2105,"csp_6_8","ec-1-6",55
2106,"csp_5_5","ec-1-6",60
2118,"csp_5_5","ec-1-6",62
2121,"csp_5_6","ec-1-6",61
2123,"csp_6_9","ec-1-6",65
2124,"csp_2_1","ec-2-2",63
2128,"csp_3_7","ec-1-6",55
2129,"csp_4_3","ec-1-6",63
2131,"csp_6_7","ec-1-2",65
2166,"csp_4_2","ec-2-1",60
2171,"csp_4_2","ec-2-1",60
2173,"csp_5_6","ec-1-5",60
2176,"csp_4_7","ec-1-6",60
2177,"csp_2_1","ec-2-1",60
2178,"csp_6_7","ec-1-6",60
2191,"csp_4_7","ec-1-6",57
2196,"csp_6_3","ec-1-6",60
2205,"csp_3_1","ec-2-1",65
2206,"csp_4_6","ec-1-6",60
2209,"csp_1_1","ec-2-1",60
2230,"csp_5_4","ec-1-6",65
2245,"csp_1_3","ec-2-2",60
2248,"csp_6_8","ec-1-6",65
2253,"csp_5_3","ec-1-5",60
2256,"csp_4_3","ec-1-6",60
2273,"csp_4_3","ec-1-6",54
2279,"csp_6_7","ec-1-6",60
2282,"csp_6_4","ec-1-6",55
2295,"csp_5_2","ec-1-6",56
2297,"csp_5_4","ec-1-6",65
2302,"csp_4_6","ec-1-6",58
2311,"csp_5_2","ec-1-6",64
2318,"csp_2_1","ec-2-1",65
2320,"csp_1_1","ec-2-1",60
2321,"csp_2_1","ec-2-1",60
2322,"csp_4_7","ec-1-6",65
2328,"csp_5_6","ec-1-6",54
2333,"csp_4_6","ec-1-5",60
2336,"csp_6_8","ec-1-6",60
2342,"csp_2_2","ec-2-2",60
2343,"csp_1_1","ec-2-2",62
2348,"csp_5_4","ec-1-6",60
2351,"csp_1_1","ec-2-1",56
2354,"csp_6_7","ec-1-6",60
2362,"csp_4_6","ec-1-6",60
2368,"csp_6_3","ec-1-3",60
2376,"csp_5_4","ec-1-6",60
2378,"csp_4_7","ec-1-6",59
2388,"csp_2_2","ec-2-1",60
2394,"csp_2_2","ec-2-1",56
2399,"csp_6_4","ec-1-5",62
2400,"csp_2_1","ec-2-1",60
2401,"csp_4_3","ec-1-6",60
2403,"csp_4_3","ec-1-6",60
2409,"csp_1_1","ec-2-1",55
2416,"csp_6_3","ec-1-5",65
2420,"csp_4_8","ec-1-6",59
2424,"csp_6_3","ec-1-6",59
2427,"csp_3_3","ec-1-6",65
2438,"csp_6_5","ec-1-6",60
2454,"csp_5_2","ec-1-6",60
2461,"csp_5_2","ec-1-6",60
2462,"csp_4_2","ec-1-6",60
2486,"csp_5_6","ec-1-5",60
2501,"csp_6_2","ec-1-6",55
2502,"csp_4_6","ec-1-6",60
2505,"csp_5_6","ec-1-6",64
2511,"csp_2_1","ec-2-1",65
2512,"csp_5_2","ec-1-6",57
2513,"csp_6_9","ec-1-6",60
2515,"csp_5_4","ec-1-6",55
2521,"csp_3_1","ec-2-1",60
2523,"csp_5_6","ec-1-6",60
2527,"csp_6_7","ec-1-2",64
2533,"csp_1_1","ec-2-1",60
2536,"csp_4_3","ec-1-6",60
2538,"csp_3_8","ec-1-6",59
2539,"csp_4_6","ec-1-6",56
2542,"csp_4_2","ec-1-6",58
2547,"csp_2_2","ec-2-2",60
2548,"csp_6_4","ec-1-6",63
2550,"csp_6_7","ec-1-6",60
2551,"csp_4_2","ec-1-6",61
2562,"csp_5_5","ec-1-6",60
2564,"csp_4_3","ec-1-5",60
2565,"csp_6_7","ec-1-5",60
2577,"csp_5_2","ec-1-6",55
2585,"csp_2_2","ec-2-1",65
2586,"csp_6_4","ec-1-6",62
2591,"csp_2_1","ec-2-2",65
2604,"csp_5_2","ec-1-6",55
2607,"csp_4_6","ec-1-6",58
2616,"csp_4_7","ec-2-1",60
2617,"csp_5_2","ec-1-5",60
2622,"csp_4_5","ec-1-6",65
2627,"csp_3_7","ec-1-6",62
2636,"csp_5_6","ec-1-6",60
2637,"csp_2_1","ec-2-1",60
2642,"csp_3_5","ec-1-5",60
2645,"csp_4_3","ec-1-5",54
2684,"csp_4_2","ec-1-6",60
2685,"csp_4_6","ec-1-6",62
2692,"csp_5_2","ec-1-6",60
2696,"csp_4_6","ec-1-6",61
2700,"csp_5_2","ec-1-5",60
2708,"csp_5_2","ec-1-6",54
2711,"csp_5_5","ec-1-6",60
2721,"csp_2_1","ec-2-2",56
2729,"csp_2_3","ec-2-2",63
2731,"csp_5_6","ec-1-6",60
2734,"csp_5_4","ec-1-6",60
2744,"csp_5_4","ec-1-6",62
2751,"csp_5_6","ec-1-6",60
2755,"csp_5_2","ec-1-6",59
2758,"csp_6_3","ec-1-6",57
2777,"csp_5_2","ec-1-6",60
2790,"csp_3_7","ec-1-6",65
2808,"csp_6_2","ec-1-6",61
2813,"csp_4_3","ec-1-5",60
2822,"csp_6_9","ec-1-5",54
2823,"csp_4_6","ec-1-6",62
2837,"csp_5_6","ec-1-6",59
2843,"csp_5_4","ec-1-6",55
2872,"csp_4_7","ec-1-6",60
2876,"csp_6_3","ec-1-5",61
2882,"csp_3_8","ec-1-6",65
2883,"csp_6_7","ec-1-6",58
2896,"csp_3_7","ec-1-6",60
2909,"csp_6_4","ec-1-6",60
2910,"csp_3_7","ec-1-6",56
2914,"csp_5_6","ec-1-6",60
2917,"csp_4_3","ec-1-6",55
2918,"csp_4_6","ec-1-6",60
2919,"csp_5_2","ec-1-6",60
2922,"csp_4_5","ec-1-6",60
2926,"csp_6_8","ec-1-6",56
2941,"csp_2_2","ec-2-2",65
2944,"csp_4_6","ec-1-6",55
2959,"csp_6_7","ec-1-6",56
2980,"csp_5_6","ec-1-6",60
2983,"csp_2_1","ec-2-2",62
2985,"csp_4_6","ec-1-6",58
2991,"csp_4_3","ec-1-6",61
3001,"csp_4_6","ec-1-6",57
3002,"csp_4_2","ec-1-6",60
3016,"csp_5_6","ec-1-6",65
3017,"csp_2_1","ec-2-2",60
3027,"csp_5_6","ec-1-6",60
3034,"csp_6_2","ec-1-6",56
3037,"csp_5_2","ec-1-6",63
3039,"csp_6_4","ec-1-6",60
3040,"csp_5_6","ec-1-6",63
3041,"csp_5_5","ec-1-6",60
3046,"csp_2_2","ec-2-1",65
3065,"csp_4_8","ec-1-6",60
3069,"csp_5_2","ec-1-6",63
3071,"csp_3_4","ec-1-6",60
3088,"csp_4_6","ec-1-6",65
3089,"csp_6_8","ec-1-6",60
3090,"csp_5_5","ec-1-6",62
3098,"csp_2_3","ec-2-2",60
3099,"csp_5_6","ec-1-6",60
3107,"csp_5_6","ec-1-5",65
3117,"csp_5_2","ec-1-6",60
3122,"csp_5_5","ec-1-6",58
3139,"csp_6_8","ec-1-6",61
3144,"csp_5_2","ec-1-6",59
3146,"csp_4_2","ec-1-6",52
3158,"csp_4_6","ec-1-6",61
3159,"csp_5_2","ec-1-5",60
3162,"csp_5_4","ec-1-6",60
3163,"csp_5_6","ec-1-6",60
3169,"csp_5_6","ec-1-6",63
3184,"csp_5_2","ec-1-6",60
3195,"csp_5_4","ec-1-6",65
3198,"csp_6_7","ec-1-6",60
3199,"csp_3_3","ec-1-6",56
3211,"csp_3_3","ec-1-6",59
3213,"csp_4_8","ec-1-6",65
3218,"csp_5_2","ec-1-6",60
3224,"csp_5_2","ec-1-6",60
3230,"csp_6_5","ec-1-6",64
3232,"csp_3_1","ec-2-2",60
3234,"csp_5_2","ec-1-6",60
3239,"csp_2_1","ec-2-2",60
3254,"csp_6_2","ec-1-6",64
3262,"csp_5_5","ec-1-6",60
3266,"csp_2_3","ec-2-2",65
3267,"csp_5_6","ec-1-6",60
3269,"csp_4_6","ec-1-6",60
3271,"csp_2_2","ec-2-2",58
3274,"csp_4_6","ec-1-6",60
3276,"csp_6_4","ec-1-6",58
3277,"csp_3_4","ec-1-5",61
3278,"csp_4_7","ec-1-6",60
3279,"csp_5_2","ec-1-6",60
3286,"csp_3_1","ec-2-1",60
3288,"csp_5_4","ec-1-6",62
3301,"csp_4_2","ec-1-6",59
3304,"csp_5_3","ec-1-6",63
3312,"csp_6_8","ec-1-6",58
3315,"csp_2_3","ec-2-2",60
3320,"csp_2_2","ec-2-1",60
3327,"csp_6_9","ec-1-6",60
3339,"csp_6_7","ec-1-6",60
3343,"csp_5_2","ec-1-6",60
3344,"csp_5_4","ec-1-6",60
3346,"csp_6_8","ec-1-6",56
3360,"csp_6_2","ec-1-2",60
3370,"csp_5_2","ec-1-3",60
3378,"csp_4_3","ec-1-6",65
3398,"csp_2_2","ec-2-1",60
3401,"csp_3_5","ec-1-6",60
3402,"csp_5_4","ec-1-6",65
3429,"csp_4_8","ec-1-6",57
3430,"csp_2_2","ec-2-2",60
3436,"csp_4_6","ec-1-6",65
3465,"csp_5_3","ec-1-6",60
3486,"csp_4_5","ec-1-5",56
3489,"csp_6_8","ec-1-5",60
3491,"csp_3_7","ec-1-6",65
3493,"csp_4_8","ec-1-6",60
3496,"csp_6_7","ec-1-5",60
3503,"csp_5_6","ec-1-6",60
3504,"csp_2_2","ec-2-1",52
3507,"csp_3_1","ec-1-6",55
3516,"csp_4_6","ec-1-6",60
3519,"csp_5_2","ec-1-5",60
3523,"csp_4_6","ec-1-6",60
3530,"csp_6_2","ec-1-6",61
3535,"csp_6_3","ec-1-6",61
3536,"csp_5_3","ec-1-6",60
3547,"csp_4_3","ec-1-6",66
3549,"csp_4_7","ec-1-6",59
3551,"csp_6_4","ec-1-6",60
3554,"csp_5_2","ec-1-6",60
3563,"csp_5_6","ec-1-6",65
3565,"csp_5_2","ec-1-6",60
3568,"csp_2_3","ec-2-2",60
3583,"csp_2_2","ec-2-1",60
3584,"csp_2_2","ec-2-1",60
3591,"csp_5_2","ec-1-6",62
3606,"csp_5_4","ec-1-6",60
3607,"csp_5_6","ec-1-5",58
3612,"csp_3_7","ec-1-6",59
3618,"csp_6_4","ec-1-6",61
3631,"csp_6_2","ec-1-6",60
3639,"csp_4_3","ec-1-6",65
3645,"csp_4_3","ec-1-6",60
3663,"csp_5_6","ec-1-5",60
3666,"csp_4_7","ec-1-6",64
3670,"csp_6_7","ec-1-6",65
3678,"csp_5_2","ec-1-6",63
3679,"csp_6_7","ec-1-6",57
3685,"csp_6_5","ec-1-6",56
3686,"csp_2_1","ec-2-2",61
3687,"csp_5_2","ec-1-6",60
3689,"csp_4_5","ec-1-6",60
3691,"csp_3_4","ec-1-6",60
3692,"csp_5_4","ec-1-6",60
3701,"csp_5_6","ec-1-5",60
3720,"csp_2_2","ec-2-2",65
3725,"csp_5_2","ec-1-6",60
3727,"csp_5_4","ec-1-6",64
3737,"csp_4_7","ec-1-6",64
3742,"csp_3_7","ec-1-6",60
3759,"csp_6_8","ec-1-6",63
3760,"csp_4_6","ec-1-6",60
3765,"csp_4_8","ec-1-6",60
3784,"csp_3_1","ec-2-2",56
3795,"csp_6_4","ec-1-6",60
3803,"csp_2_1","ec-2-1",60
3815,"csp_2_1","ec-2-1",60
3819,"csp_4_6","ec-1-6",59
3831,"csp_6_7","ec-1-6",56
3845,"csp_5_2","ec-1-6",65
3860,"csp_3_8","ec-1-6",59
3863,"csp_5_5","ec-1-6",65
3867,"csp_4_7","ec-1-6",55
3873,"csp_5_2","ec-1-6",65
3878,"csp_2_2","ec-2-2",60
3880,"csp_5_6","ec-1-6",63
3888,"csp_5_6","ec-1-6",58
3889,"csp_5_5","ec-1-6",60
3890,"csp_5_2","ec-1-6",60
3891,"csp_4_3","ec-1-6",55
3901,"csp_2_3","ec-2-2",60
3907,"csp_2_1","ec-2-1",59
3913,"csp_6_3","ec-1-6",60
3914,"csp_4_6","ec-1-6",55
3923,"csp_5_2","ec-1-6",64
3933,"csp_2_2","ec-2-2",65
3935,"csp_3_7","ec-1-6",65
3939,"csp_5_6","ec-1-6",60
3942,"csp_4_2","ec-1-6",59
3945,"csp_6_5","ec-1-6",61
3973,"csp_5_2","ec-1-6",60
3974,"csp_3_8","ec-1-6",60
3976,"csp_3_8","ec-1-6",65
3979,"csp_5_2","ec-1-6",51
3994,"csp_5_3","ec-1-6",59
4000,"csp_6_2","ec-1-6",58
4005,"csp_4_6","ec-1-6",60
4022,"csp_5_2","ec-1-6",65
4041,"csp_2_2","ec-2-1",60
4049,"csp_5_4","ec-1-5",60
4054,"csp_6_4","ec-1-6",59
4057,"csp_4_3","ec-1-6",60
4067,"csp_4_3","ec-1-6",60
4068,"csp_6_3","ec-1-6",60
4087,"csp_4_6","ec-1-6",60
4094,"csp_3_4","ec-1-6",60
4119,"csp_5_2","ec-1-5",60
4130,"csp_5_2","ec-1-6",60
4138,"csp_5_2","ec-1-6",60
4141,"csp_2_1","ec-2-1",60
4142,"csp_5_6","ec-1-6",62
4156,"csp_3_1","ec-2-1",60
4164,"csp_2_2","ec-2-2",66
4167,"csp_4_6","ec-2-1",60
4177,"csp_2_3","ec-2-2",60
4178,"csp_6_7","ec-1-6",59
4191,"csp_6_3","ec-1-6",58
4206,"csp_3_8","ec-1-6",63
4229,"csp_4_8","ec-1-6",62
4231,"csp_4_6","ec-1-6",64
4238,"csp_5_3","ec-1-6",65
4240,"csp_5_2","ec-1-6",58
4244,"csp_4_6","ec-1-6",65
4249,"csp_5_2","ec-1-6",60
4251,"csp_2_2","ec-2-1",60
4252,"csp_3_8","ec-1-6",60
4266,"csp_6_2","ec-1-6",60
4274,"csp_2_1","ec-2-1",60
4275,"csp_5_4","ec-1-6",60
4277,"csp_6_5","ec-1-6",60
4297,"csp_4_3","ec-1-6",60
4303,"csp_2_1","ec-2-1",56
4331,"csp_5_2","ec-1-6",65
4344,"csp_4_3","ec-1-6",65
4348,"csp_5_2","ec-1-6",60
4354,"csp_3_8","ec-1-6",65
4375,"csp_5_2","ec-1-6",62
4379,"csp_6_8","ec-1-6",62
4384,"csp_4_6","ec-1-6",62
4388,"csp_6_7","ec-1-6",60
4394,"csp_2_1","ec-2-3",60
4396,"csp_3_8","ec-1-6",62
4397,"csp_4_7","ec-1-6",56
4404,"csp_6_3","ec-1-6",57
4407,"csp_1_1","ec-2-1",65
4420,"csp_2_1","ec-2-1",60
4421,"csp_5_4","ec-1-6",64
4428,"csp_3_3","ec-1-6",60
4430,"csp_3_7","ec-1-6",60
4434,"csp_2_2","ec-2-2",60
4435,"csp_4_8","ec-1-6",60
4450,"csp_2_3","ec-2-2",60
4451,"csp_5_4","ec-1-6",65
4480,"csp_3_8","ec-1-6",55
4481,"csp_3_7","ec-1-6",60
4483,"csp_3_1","ec-2-1",65
4490,"csp_4_6","ec-1-6",66
4498,"csp_5_6","ec-1-6",60
4514,"csp_4_7","ec-1-6",60
4518,"csp_5_2","ec-1-6",55
4535,"csp_5_6","ec-1-3",65
4538,"csp_4_7","ec-2-2",60
4545,"csp_4_2","ec-1-5",60
4549,"csp_4_2","ec-2-1",60
4553,"csp_2_1","ec-2-1",60
4566,"csp_4_8","ec-1-6",65
4578,"csp_4_7","ec-1-6",64
4581,"csp_5_3","ec-1-6",63
4595,"csp_6_9","ec-1-5",60
4602,"csp_6_2","ec-1-6",60
4609,"csp_5_3","ec-1-6",60
4610,"csp_3_8","ec-1-6",59
4612,"csp_5_3","ec-1-6",65
4627,"csp_4_6","ec-1-6",60
4629,"csp_2_1","ec-2-1",60
4644,"csp_6_5","ec-1-6",64
4647,"csp_4_6","ec-1-6",60
4652,"csp_6_8","ec-1-5",60
4656,"csp_5_4","ec-1-6",60
4658,"csp_6_4","ec-1-6",58
4690,"csp_4_8","ec-1-6",60
4693,"csp_3_7","ec-1-6",53
4694,"csp_6_3","ec-1-6",61
4695,"csp_1_3","ec-2-2",65
4705,"csp_3_7","ec-1-6",60
4710,"csp_1_1","ec-2-1",65
4716,"csp_6_2","ec-1-6",60
4717,"csp_3_3","ec-1-6",60
4721,"csp_5_6","ec-1-6",60
4724,"csp_4_6","ec-1-5",60
4726,"csp_6_9","ec-1-5",65
