pkey,SPORTS
5600,"CLUB604"
5606,"CLUB245"
5648,"CLUB111"
5653,"CLUB602"
5669,"CLUB402"
5691,"CLUB109"
5715,"CLUB121"
5727,"CLUB602"
5729,"CLUB111"
5751,"CLUB503"
5776,"CLUB115"
5779,"CLUB402"
5815,"CLUB119"
5844,"CLUB103"
5865,"CLUB111"
5872,"CLUB413"
5930,"CLUB123"
5942,"CLUB420"
5954,"CLUB123"
5955,"CLUB135"
5957,"CLUB111"
5969,"CLUB111"
5971,"CLUB604"
6051,"CLUB402"
6063,"CLUB111"
6097,"CLUB604"
6100,"CLUB254"
6108,"CLUB601"
6114,"CLUB402"
6146,"CLUB604"
6154,"CLUB101"
6201,"CLUB133"
6223,"CLUB245"
6254,"CLUB245"
6261,"CLUB133"
6272,"CLUB404"
6299,"CLUB111"
6305,"CLUB401"
6318,"CLUB221"
6328,"CLUB111"
6334,"CLUB404"
6336,"CLUB221"
6367,"CLUB123"
6408,"CLUB111"
6418,"CLUB123"
6450,"CLUB211"
6451,"CLUB109"
6452,"CLUB402"
6490,"CLUB119"
6492,"CLUB242"
6501,"CLUB117"
6511,"CLUB125"
6526,"CLUB218"
6559,"CLUB218"
6590,"CLUB119"
6621,"CLUB401"
6623,"CLUB123"
6626,"CLUB105"
6666,"CLUB108"
6677,"CLUB111"
6682,"CLUB245"
6686,"CLUB111"
6689,"CLUB218"
6703,"CLUB245"
6708,"CLUB242"
6716,"CLUB420"
6717,"CLUB125"
6737,"CLUB119"
6773,"CLUB242"
6780,"CLUB133"
6782,"CLUB125"
6787,"CLUB243"
6801,"CLUB245"
6810,"CLUB245"
6813,"CLUB213"
6818,"CLUB133"
6827,"CLUB111"
6856,"CLUB111"
6869,"CLUB402"
6880,"CLUB413"
6892,"CLUB111"
6893,"CLUB221"
6895,"CLUB219"
6902,"CLUB119"
6907,"CLUB101"
6914,"CLUB119"
6932,"CLUB242"
6934,"CLUB402"
6937,"CLUB111"
6941,"CLUB403"
6942,"CLUB133"
6946,"CLUB233"
6957,"CLUB111"
6963,"CLUB245"
6969,"CLUB206"
6981,"CLUB420"
6990,"CLUB201"
6995,"CLUB111"
6999,"CLUB123"
7016,"CLUB403"
7038,"CLUB132"
7047,"CLUB111"
7049,"CLUB245"
7058,"CLUB604"
7086,"CLUB402"
7096,"CLUB111"
7111,"CLUB402"
7161,"CLUB245"
7162,"CLUB132"
7186,"CLUB407"
7200,"CLUB413"
7243,"CLUB128"
7297,"CLUB401"
7317,"CLUB101"
7338,"CLUB604"
7342,"CLUB128"
7354,"CLUB132"
7453,"CLUB601"
7484,"CLUB221"
7550,"CLUB212"
7551,"CLUB205"
7582,"CLUB111"
7594,"CLUB242"
7600,"CLUB132"
7616,"CLUB119"
7633,"CLUB220"
7648,"CLUB111"
7696,"CLUB111"
7698,"CLUB402"
7702,"CLUB604"
7708,"CLUB602"
7715,"CLUB109"
7723,"CLUB410"
7724,"CLUB261"
7731,"CLUB252"
7740,"CLUB403"
7771,"CLUB102"
7795,"CLUB103"
7801,"CLUB119"
7841,"CLUB107"
7870,"CLUB404"
7881,"CLUB123"
7882,"CLUB103"
7885,"CLUB207"
7914,"CLUB242"
7932,"CLUB111"
7934,"CLUB221"
7943,"CLUB402"
7949,"CLUB219"
7953,"CLUB210"
7963,"CLUB121"
7982,"CLUB221"
7984,"CLUB245"
8003,"CLUB111"
8011,"CLUB221"
8036,"CLUB248"
8044,"CLUB111"
8052,"CLUB404"
8088,"CLUB242"
8128,"CLUB111"
8155,"CLUB123"
8173,"CLUB115"
8188,"CLUB101"
8196,"CLUB245"
8219,"CLUB124"
8253,"CLUB420"
8263,"CLUB228"
8277,"CLUB402"
8301,"CLUB123"
8312,"CLUB242"
8320,"CLUB242"
8321,"CLUB115"
8335,"CLUB101"
8336,"CLUB109"
8348,"CLUB245"
8359,"CLUB111"
8369,"CLUB402"
8378,"CLUB401"
8385,"CLUB413"
8407,"CLUB125"
8421,"CLUB252"
8450,"CLUB123"
8458,"CLUB111"
8481,"CLUB407"
8493,"CLUB402"
8497,"CLUB245"
8510,"CLUB111"
8517,"CLUB111"
8529,"CLUB111"
8537,"CLUB111"
8545,"CLUB218"
8558,"CLUB402"
8585,"CLUB101"
8588,"CLUB410"
8622,"CLUB128"
8645,"CLUB123"
8660,"CLUB108"
8679,"CLUB133"
8690,"CLUB125"
8695,"CLUB117"
8734,"CLUB123"
8737,"CLUB242"
8741,"CLUB242"
8750,"CLUB127"
8771,"CLUB132"
8790,"CLUB132"
8809,"CLUB117"
8814,"CLUB258"
8833,"CLUB410"
8841,"CLUB242"
8844,"CLUB111"
8866,"CLUB111"
8883,"CLUB233"
8912,"CLUB132"
8945,"CLUB115"
8946,"CLUB129"
8951,"CLUB111"
8985,"CLUB245"
8991,"CLUB604"
9012,"CLUB604"
9054,"CLUB410"
9116,"CLUB420"
9161,"CLUB420"
9174,"CLUB242"
9182,"CLUB252"
9200,"CLUB249"
9215,"CLUB111"
9227,"CLUB212"
9232,"CLUB132"
9238,"CLUB123"
9278,"CLUB212"
9282,"CLUB242"
9298,"CLUB402"
9299,"CLUB117"
9324,"CLUB125"
9339,"CLUB245"
9384,"CLUB603"
9395,"CLUB111"
9406,"CLUB119"
9412,"CLUB106"
9417,"CLUB125"
9428,"CLUB119"
9432,"CLUB402"
9448,"CLUB245"
9451,"CLUB218"
9460,"CLUB123"
9466,"CLUB123"
9486,"CLUB101"
9516,"CLUB601"
9524,"CLUB602"
9562,"CLUB107"
9576,"CLUB413"
9586,"CLUB603"
9602,"CLUB410"
9606,"CLUB420"
9612,"CLUB603"
9626,"CLUB132"
9627,"CLUB123"
9640,"CLUB601"
9649,"CLUB413"
9663,"CLUB245"
9665,"CLUB122"
9671,"CLUB129"
9686,"CLUB410"
9693,"CLUB111"
9709,"CLUB137"
9739,"CLUB245"
9740,"CLUB420"
9755,"CLUB125"
9796,"CLUB126"
9815,"CLUB128"
9816,"CLUB243"
9856,"CLUB111"
9863,"CLUB109"
9913,"CLUB122"
9937,"CLUB134"
9963,"CLUB123"
10015,"CLUB115"
10040,"CLUB115"
10060,"CLUB420"
10092,"CLUB111"
10098,"CLUB123"
10111,"CLUB413"
10174,"CLUB125"
10205,"CLUB111"
10218,"CLUB602"
10236,"CLUB111"
10256,"CLUB119"
10287,"CLUB261"
10288,"CLUB603"
10327,"CLUB410"
10347,"CLUB111"
10365,"CLUB501"
10400,"CLUB115"
10421,"CLUB109"
10443,"CLUB117"
10483,"CLUB123"
10525,"CLUB123"
10531,"CLUB402"
10553,"CLUB132"
10555,"CLUB111"
10578,"CLUB119"
10582,"CLUB117"
10596,"CLUB109"
10614,"CLUB111"
10616,"CLUB101"
10619,"CLUB413"
10635,"CLUB604"
10640,"CLUB420"
10656,"CLUB119"
10702,"CLUB108"
10717,"CLUB131"
10735,"CLUB111"
10777,"CLUB125"
10778,"CLUB402"
10792,"CLUB132"
10793,"CLUB233"
10818,"CLUB402"
10824,"CLUB115"
10843,"CLUB413"
10850,"CLUB111"
10892,"CLUB401"
10899,"CLUB604"
10917,"CLUB252"
10925,"CLUB420"
10955,"CLUB133"
10973,"CLUB109"
10974,"CLUB123"
10979,"CLUB401"
10999,"CLUB420"
11003,"CLUB242"
11016,"CLUB132"
11036,"CLUB221"
11079,"CLUB402"
11081,"CLUB602"
11082,"CLUB105"
11084,"CLUB111"
11088,"CLUB115"
11158,"CLUB501"
11179,"CLUB109"
11187,"CLUB218"
11194,"CLUB111"
11199,"CLUB250"
11209,"CLUB103"
11212,"CLUB134"
11225,"CLUB403"
11238,"CLUB105"
11245,"CLUB402"
11256,"CLUB111"
11266,"CLUB245"
11277,"CLUB256"
11288,"CLUB111"
11305,"CLUB245"
11312,"CLUB115"
11316,"CLUB105"
11340,"CLUB107"
11349,"CLUB221"
11353,"CLUB413"
11354,"CLUB111"
11373,"CLUB111"
11378,"CLUB124"
11382,"CLUB218"
11411,"CLUB101"
11412,"CLUB403"
11466,"CLUB242"
11471,"CLUB242"
11477,"CLUB101"
11482,"CLUB210"
11495,"CLUB604"
11521,"CLUB401"
11559,"CLUB404"
11578,"CLUB133"
11582,"CLUB115"
11587,"CLUB413"
11591,"CLUB503"
11601,"CLUB111"
11642,"CLUB212"
11650,"CLUB109"
11652,"CLUB420"
11665,"CLUB123"
11693,"CLUB117"
11711,"CLUB111"
11717,"CLUB117"
11745,"CLUB402"
11749,"CLUB604"
11806,"CLUB123"
11825,"CLUB402"
11839,"CLUB111"
11842,"CLUB233"
11869,"CLUB123"
11870,"CLUB402"
11872,"CLUB111"
11891,"CLUB402"
11913,"CLUB212"
11929,"CLUB103"
11972,"CLUB132"
11979,"CLUB108"
11995,"CLUB420"
12003,"CLUB413"
12012,"CLUB115"
12022,"CLUB124"
12025,"CLUB415"
12055,"CLUB402"
12064,"CLUB402"
12068,"CLUB115"
12079,"CLUB402"
12083,"CLUB117"
12089,"CLUB113"
12107,"CLUB413"
12109,"CLUB111"
12123,"CLUB109"
12125,"CLUB109"
12127,"CLUB112"
12166,"CLUB402"
12171,"CLUB111"
12187,"CLUB249"
12202,"CLUB233"
12259,"CLUB103"
12267,"CLUB111"
12292,"CLUB105"
12306,"CLUB111"
12318,"CLUB204"
12350,"CLUB209"
12355,"CLUB115"
12356,"CLUB109"
12381,"CLUB109"
12389,"CLUB111"
12403,"CLUB243"
12408,"CLUB135"
12423,"CLUB255"
12428,"CLUB242"
12433,"CLUB135"
12434,"CLUB101"
12449,"CLUB402"
12458,"CLUB132"
12461,"CLUB128"
12463,"CLUB242"
12477,"CLUB115"
12478,"CLUB402"
12492,"CLUB123"
12508,"CLUB125"
12522,"CLUB134"
12554,"CLUB101"
12578,"CLUB221"
12597,"CLUB111"
12617,"CLUB125"
12625,"CLUB204"
12659,"CLUB402"
12660,"CLUB125"
12667,"CLUB242"
12684,"CLUB233"
12716,"CLUB123"
12725,"CLUB109"
12766,"CLUB402"
12767,"CLUB201"
12808,"CLUB136"
12826,"CLUB420"
12878,"CLUB134"
12910,"CLUB267"
12919,"CLUB132"
12953,"CLUB111"
12957,"CLUB242"
12960,"CLUB111"
12964,"CLUB127"
12970,"CLUB233"
12974,"CLUB111"
12983,"CLUB123"
12992,"CLUB109"
13023,"CLUB105"
13024,"CLUB124"
13047,"CLUB413"
13069,"CLUB123"
13078,"CLUB111"
13092,"CLUB221"
13103,"CLUB102"
13115,"CLUB111"
13120,"CLUB117"
13132,"CLUB413"
13146,"CLUB123"
13175,"CLUB124"
13232,"CLUB503"
13259,"CLUB111"
13270,"CLUB109"
13282,"CLUB601"
13308,"CLUB107"
13311,"CLUB402"
13336,"CLUB402"
13338,"CLUB402"
13344,"CLUB128"
13349,"CLUB201"
13353,"CLUB101"
13355,"CLUB132"
13369,"CLUB111"
13396,"CLUB103"
13414,"CLUB402"
13419,"CLUB211"
13434,"CLUB106"
13453,"CLUB111"
13469,"CLUB111"
13470,"CLUB402"
13474,"CLUB108"
13477,"CLUB111"
13499,"CLUB242"
13502,"CLUB233"
13508,"CLUB105"
13538,"CLUB132"
13543,"CLUB111"
13548,"CLUB218"
13563,"CLUB111"
13569,"CLUB103"
13601,"CLUB212"
13631,"CLUB119"
13664,"CLUB402"
13690,"CLUB109"
13705,"CLUB125"
13743,"CLUB117"
13749,"CLUB109"
13772,"CLUB133"
13784,"CLUB413"
13796,"CLUB221"
13801,"CLUB402"
13810,"CLUB245"
13816,"CLUB124"
13821,"CLUB245"
13822,"CLUB135"
13840,"CLUB111"
13846,"CLUB604"
13875,"CLUB125"
13900,"CLUB107"
13916,"CLUB413"
13918,"CLUB218"
13919,"CLUB402"
13948,"CLUB218"
13955,"CLUB211"
13966,"CLUB233"
13983,"CLUB119"
13987,"CLUB413"
13999,"CLUB503"
14005,"CLUB402"
14012,"CLUB111"
14016,"CLUB124"
14035,"CLUB123"
14053,"CLUB101"
14067,"CLUB101"
14096,"CLUB124"
14102,"CLUB115"
14107,"CLUB111"
14169,"CLUB111"
14188,"CLUB115"
14189,"CLUB115"
14202,"CLUB134"
14203,"CLUB134"
14209,"CLUB127"
14223,"CLUB111"
14227,"CLUB604"
14251,"CLUB127"
14295,"CLUB115"
14300,"CLUB103"
14304,"CLUB245"
14311,"CLUB245"
14314,"CLUB127"
14380,"CLUB115"
14396,"CLUB109"
14471,"CLUB136"
14474,"CLUB123"
14527,"CLUB413"
14536,"CLUB402"
14547,"CLUB601"
14571,"CLUB109"
14577,"CLUB402"
14614,"CLUB117"
14643,"CLUB111"
14663,"CLUB132"
14664,"CLUB129"
14667,"CLUB604"
14670,"CLUB111"
14673,"CLUB206"
14725,"CLUB417"
14738,"CLUB123"
14743,"CLUB245"
14769,"CLUB123"
14778,"CLUB245"
14789,"CLUB402"
14836,"CLUB115"
14840,"CLUB105"
14845,"CLUB264"
14876,"CLUB134"
14880,"CLUB111"
14893,"CLUB133"
14905,"CLUB109"
14920,"CLUB245"
14926,"CLUB403"
14943,"CLUB106"
14948,"CLUB602"
14963,"CLUB402"
14975,"CLUB410"
14988,"CLUB109"
14989,"CLUB602"
14997,"CLUB503"
15001,"CLUB111"
15046,"CLUB604"
15057,"CLUB123"
15061,"CLUB111"
15067,"CLUB133"
15078,"CLUB125"
15086,"CLUB105"
15088,"CLUB132"
15106,"CLUB245"
15108,"CLUB111"
15111,"CLUB117"
15127,"CLUB123"
15143,"CLUB218"
15147,"CLUB403"
15160,"CLUB221"
15163,"CLUB407"
15221,"CLUB111"
15225,"CLUB245"
15228,"CLUB126"
15252,"CLUB245"
15267,"CLUB403"
15273,"CLUB109"
15284,"CLUB219"
15307,"CLUB115"
15332,"CLUB266"
15338,"CLUB111"
15342,"CLUB132"
15344,"CLUB501"
15380,"CLUB403"
15391,"CLUB111"
15420,"CLUB218"
15426,"CLUB403"
15455,"CLUB245"
15459,"CLUB111"
15461,"CLUB111"
15462,"CLUB249"
15475,"CLUB403"
15492,"CLUB111"
15528,"CLUB221"
15532,"CLUB132"
15533,"CLUB403"
15542,"CLUB103"
15545,"CLUB413"
15565,"CLUB219"
15570,"CLUB410"
15575,"CLUB129"
15594,"CLUB107"
15595,"CLUB604"
15624,"CLUB242"
15637,"CLUB403"
15653,"CLUB413"
15660,"CLUB403"
15661,"CLUB420"
15713,"CLUB105"
15748,"CLUB115"
15769,"CLUB220"
15834,"CLUB242"
15841,"CLUB111"
15850,"CLUB111"
15857,"CLUB117"
15868,"CLUB123"
15870,"CLUB403"
15879,"CLUB402"
15882,"CLUB111"
15884,"CLUB111"
15904,"CLUB111"
15920,"CLUB111"
15940,"CLUB403"
15945,"CLUB124"
15946,"CLUB111"
15947,"CLUB604"
15959,"CLUB403"
15967,"CLUB604"
15980,"CLUB242"
15982,"CLUB604"
16003,"CLUB111"
16004,"CLUB105"
16008,"CLUB601"
16011,"CLUB249"
16030,"CLUB111"
16036,"CLUB111"
16055,"CLUB111"
16125,"CLUB407"
16144,"CLUB267"
16175,"CLUB117"
16176,"CLUB105"
16181,"CLUB123"
16187,"CLUB132"
16194,"CLUB132"
16211,"CLUB125"
16249,"CLUB111"
16277,"CLUB233"
16318,"CLUB114"
16332,"CLUB123"
16357,"CLUB111"
16362,"CLUB242"
16397,"CLUB126"
16413,"CLUB604"
16437,"CLUB102"
16444,"CLUB402"
16448,"CLUB109"
16466,"CLUB202"
16488,"CLUB403"
16496,"CLUB105"
16506,"CLUB413"
16515,"CLUB403"
16542,"CLUB109"
16550,"CLUB126"
16554,"CLUB402"
16564,"CLUB245"
16568,"CLUB105"
16610,"CLUB133"
16626,"CLUB133"
16648,"CLUB125"
16653,"CLUB111"
16679,"CLUB111"
16694,"CLUB245"
16698,"CLUB109"
16723,"CLUB135"
16724,"CLUB133"
16768,"CLUB420"
16770,"CLUB258"
16794,"CLUB604"
16810,"CLUB125"
16828,"CLUB132"
16833,"CLUB402"
16835,"CLUB403"
16837,"CLUB218"
16842,"CLUB250"
16874,"CLUB106"
16888,"CLUB220"
16911,"CLUB101"
16932,"CLUB233"
16933,"CLUB115"
16942,"CLUB605"
16952,"CLUB119"
16976,"CLUB403"
16981,"CLUB109"
16991,"CLUB111"
16993,"CLUB233"
17037,"CLUB604"
17043,"CLUB261"
17058,"CLUB125"
17095,"CLUB134"
17098,"CLUB403"
17101,"CLUB245"
17135,"CLUB111"
17154,"CLUB209"
17178,"CLUB111"
17191,"CLUB604"
17223,"CLUB111"
17226,"CLUB111"
17250,"CLUB245"
17257,"CLUB205"
17264,"CLUB404"
17286,"CLUB503"
17323,"CLUB109"
17330,"CLUB205"
17373,"CLUB109"
17434,"CLUB123"
17440,"CLUB121"
17451,"CLUB111"
17468,"CLUB410"
17487,"CLUB211"
17489,"CLUB212"
17490,"CLUB111"
17506,"CLUB114"
17510,"CLUB109"
17516,"CLUB245"
17521,"CLUB261"
17536,"CLUB133"
17563,"CLUB111"
17602,"CLUB602"
17606,"CLUB602"
17659,"CLUB111"
17661,"CLUB218"
17665,"CLUB245"
17672,"CLUB111"
17675,"CLUB133"
17677,"CLUB407"
17678,"CLUB111"
17703,"CLUB133"
17772,"CLUB133"
17781,"CLUB123"
17803,"CLUB211"
17807,"CLUB218"
17815,"CLUB242"
17823,"CLUB245"
17830,"CLUB115"
17834,"CLUB402"
17847,"CLUB402"
17883,"CLUB402"
17896,"CLUB123"
17897,"CLUB126"
17902,"CLUB123"
17943,"CLUB108"
17978,"CLUB125"
17990,"CLUB123"
17993,"CLUB136"
18011,"CLUB211"
18022,"CLUB132"
18035,"CLUB123"
18109,"CLUB123"
18110,"CLUB117"
18111,"CLUB105"
18128,"CLUB132"
18151,"CLUB103"
18157,"CLUB102"
18162,"CLUB413"
18164,"CLUB211"
18175,"CLUB402"
18181,"CLUB401"
18184,"CLUB125"
18191,"CLUB420"
18207,"CLUB403"
18220,"CLUB101"
18235,"CLUB220"
18253,"CLUB254"
18266,"CLUB125"
18268,"CLUB245"
18279,"CLUB402"
18283,"CLUB127"
18289,"CLUB133"
18290,"CLUB218"
18294,"CLUB111"
18297,"CLUB402"
18298,"CLUB115"
18308,"CLUB124"
18313,"CLUB111"
18317,"CLUB402"
18323,"CLUB402"
18367,"CLUB111"
18371,"CLUB119"
18381,"CLUB604"
18384,"CLUB604"
18415,"CLUB117"
18417,"CLUB233"
18419,"CLUB133"
18423,"CLUB123"
18453,"CLUB117"
18485,"CLUB220"
18538,"CLUB111"
18581,"CLUB111"
18601,"CLUB403"
18614,"CLUB403"
18636,"CLUB219"
18650,"CLUB132"
18695,"CLUB402"
18716,"CLUB125"
18717,"CLUB109"
18730,"CLUB128"
18741,"CLUB403"
18754,"CLUB111"
18761,"CLUB242"
18770,"CLUB133"
18778,"CLUB134"
18780,"CLUB407"
18790,"CLUB126"
18812,"CLUB115"
18848,"CLUB402"
18851,"CLUB604"
18919,"CLUB135"
18939,"CLUB109"
18941,"CLUB109"
18945,"CLUB111"
18979,"CLUB209"
19002,"CLUB109"
19024,"CLUB124"
19063,"CLUB101"
19087,"CLUB108"
19098,"CLUB218"
19133,"CLUB101"
19156,"CLUB101"
19169,"CLUB125"
19222,"CLUB103"
19227,"CLUB261"
19231,"CLUB403"
19246,"CLUB101"
19290,"CLUB126"
19294,"CLUB117"
19303,"CLUB103"
19359,"CLUB111"
19414,"CLUB402"
19425,"CLUB106"
19436,"CLUB402"
19461,"CLUB132"
19468,"CLUB402"
19476,"CLUB237"
19495,"CLUB413"
19501,"CLUB402"
19533,"CLUB103"
19545,"CLUB134"
19546,"CLUB413"
19554,"CLUB209"
19567,"CLUB134"
19569,"CLUB402"
19571,"CLUB115"
19589,"CLUB219"
19623,"CLUB132"
19627,"CLUB111"
19636,"CLUB123"
19639,"CLUB111"
19647,"CLUB126"
19680,"CLUB103"
19683,"CLUB602"
19705,"CLUB111"
19728,"CLUB405"
19731,"CLUB420"
19744,"CLUB111"
