pkey,emp_type
770,"ec-2-2"
774,"ec-1-6"
775,"ec-2-2"
779,"ec-1-6"
780,"ec-1-6"
787,"ec-1-6"
796,"ec-1-5"
801,"ec-1-6"
802,"ec-1-6"
805,"ec-1-6"
807,"ec-1-6"
813,"ec-1-6"
818,"ec-1-6"
819,"ec-1-6"
834,"ec-1-6"
841,"ec-1-5"
843,"ec-1-3"
844,"ec-1-6"
846,"ec-1-6"
859,"ec-1-6"
864,"ec-1-6"
865,"ec-1-5"
866,"ec-1-6"
870,"ec-1-1"
875,"ec-1-6"
876,"ec-1-6"
878,"ec-1-6"
879,"ec-1-5"
882,"ec-1-6"
888,"ec-1-6"
892,"ec-1-6"
894,"ec-1-6"
904,"ec-1-6"
906,"ec-2-2"
911,"ec-1-6"
913,"ec-1-6"
916,"ec-1-6"
918,"ec-1-1"
922,"ec-1-1"
926,"ec-2-1"
933,"ec-1-6"
934,"ec-1-6"
939,"ec-1-6"
940,"ec-1-6"
953,"ec-1-5"
956,"ec-1-6"
957,"ec-1-6"
960,"ec-2-1"
968,"ec-1-6"
969,"ec-2-1"
975,"ec-2-2"
977,"ec-1-6"
978,"ec-1-6"
980,"ec-1-6"
983,"ec-1-6"
986,"ec-1-6"
989,"ec-1-6"
993,"ec-1-6"
995,"ec-1-6"
997,"ec-1-5"
998,"ec-2-2"
1000,"ec-1-6"
1011,"ec-1-6"
1012,"ec-1-6"
1022,"ec-1-6"
1029,"ec-1-6"
1030,"ec-1-6"
1033,"ec-1-6"
1045,"ec-1-6"
1049,"ec-1-5"
1050,"ec-1-5"
1052,"ec-1-6"
1054,"ec-1-6"
1056,"ec-1-5"
1057,"ec-1-6"
1060,"ec-1-6"
1062,"ec-1-6"
1063,"ec-2-1"
1070,"ec-1-6"
1073,"ec-1-5"
1088,"ec-1-6"
1092,"ec-1-3"
1096,"ec-1-6"
1101,"ec-1-6"
1102,"ec-1-6"
1103,"ec-1-6"
1132,"ec-1-6"
1142,"ec-1-6"
1146,"ec-1-6"
1149,"ec-1-6"
1151,"ec-1-6"
1161,"ec-1-6"
1167,"ec-1-6"
1170,"ec-1-6"
1178,"ec-1-6"
1183,"ec-1-6"
1185,"ec-1-6"
1186,"ec-1-6"
1194,"ec-1-5"
1195,"ec-1-6"
1201,"ec-1-5"
1202,"ec-2-1"
1203,"ec-1-6"
1205,"ec-1-6"
1209,"ec-1-5"
1210,"ec-1-6"
1223,"ec-2-1"
1226,"ec-1-6"
1235,"ec-2-1"
1236,"ec-1-6"
1241,"ec-1-6"
1252,"ec-1-5"
1253,"ec-1-6"
1265,"ec-1-6"
1273,"ec-1-5"
1275,"ec-1-6"
1278,"ec-1-1"
1290,"ec-2-1"
1294,"ec-1-6"
1298,"ec-1-5"
1304,"ec-1-6"
1308,"ec-1-5"
1313,"ec-1-6"
1316,"ec-1-6"
1319,"ec-2-2"
1324,"ec-1-1"
1326,"ec-1-2"
1327,"ec-1-6"
1331,"ec-1-6"
1336,"ec-1-6"
1337,"ec-1-6"
1338,"ec-1-6"
1344,"ec-1-3"
1346,"ec-1-3"
1354,"ec-1-6"
1358,"ec-1-6"
1366,"ec-2-1"
1368,"ec-1-6"
1372,"ec-1-6"
1375,"ec-2-2"
1395,"ec-1-6"
1398,"ec-1-6"
1409,"ec-1-6"
1412,"ec-1-6"
1415,"ec-1-6"
1417,"ec-1-6"
1419,"ec-1-6"
1420,"ec-2-2"
1422,"ec-1-2"
1423,"ec-1-6"
1430,"ec-2-1"
1438,"ec-1-6"
1439,"ec-1-6"
1447,"ec-1-6"
1449,"ec-1-6"
1451,"ec-1-6"
1453,"ec-1-6"
1462,"ec-2-1"
1479,"ec-1-5"
1484,"ec-2-2"
1486,"ec-2-1"
1488,"ec-1-6"
1491,"ec-1-6"
1492,"ec-1-3"
1503,"ec-1-6"
1504,"ec-1-6"
1511,"ec-1-5"
1513,"ec-1-6"
1517,"ec-1-6"
1528,"ec-1-6"
1538,"ec-1-6"
1539,"ec-1-6"
1545,"ec-1-6"
1546,"ec-1-6"
1549,"ec-1-6"
1552,"ec-1-6"
1561,"ec-1-6"
1566,"ec-1-6"
1571,"ec-1-6"
1578,"ec-1-6"
1585,"ec-1-6"
1587,"ec-1-6"
1595,"ec-1-6"
1599,"ec-1-6"
1603,"ec-1-6"
1604,"ec-1-6"
1606,"ec-1-6"
1607,"ec-1-6"
1609,"ec-1-6"
1610,"ec-1-6"
1614,"ec-1-6"
1616,"ec-1-6"
1627,"ec-1-5"
1635,"ec-1-6"
1637,"ec-1-6"
1640,"ec-1-6"
1644,"ec-1-6"
1645,"ec-2-1"
1646,"ec-1-6"
1651,"ec-1-6"
1654,"ec-1-6"
1655,"ec-1-6"
1663,"ec-2-1"
1668,"ec-1-6"
1669,"ec-1-5"
1670,"ec-1-6"
1672,"ec-1-6"
1673,"ec-2-2"
1675,"ec-1-5"
1681,"ec-1-6"
1683,"ec-1-6"
1698,"ec-1-2"
1705,"ec-1-6"
1706,"ec-1-6"
1707,"ec-1-6"
1712,"ec-1-6"
1716,"ec-1-6"
1717,"ec-1-6"
1721,"ec-1-6"
1728,"ec-1-6"
1735,"ec-1-5"
1738,"ec-1-6"
1741,"ec-1-6"
1746,"ec-1-6"
1748,"ec-1-6"
1756,"ec-1-5"
1758,"ec-1-6"
1767,"ec-1-6"
1768,"ec-1-6"
1770,"ec-1-5"
1773,"ec-1-2"
1783,"ec-1-5"
1784,"ec-1-6"
1785,"ec-1-5"
1786,"ec-1-2"
1790,"ec-1-6"
1795,"ec-1-5"
1801,"ec-1-6"
1805,"ec-1-6"
1807,"ec-2-2"
1814,"ec-1-6"
1823,"ec-1-5"
1827,"ec-1-6"
1828,"ec-1-2"
1831,"ec-1-6"
1837,"ec-1-6"
1838,"ec-1-6"
1839,"ec-1-5"
1840,"ec-2-1"
1841,"ec-1-6"
1848,"ec-1-5"
1849,"ec-1-5"
1854,"ec-2-1"
1862,"ec-1-6"
1868,"ec-1-6"
1870,"ec-1-6"
1872,"ec-1-6"
1875,"ec-1-5"
1877,"ec-1-1"
1886,"ec-1-6"
1890,"ec-1-5"
1893,"ec-1-6"
1896,"ec-1-5"
1897,"ec-1-6"
1902,"ec-1-6"
1910,"ec-1-6"
1912,"ec-1-6"
1913,"ec-1-6"
1914,"ec-2-3"
1921,"ec-1-6"
1934,"ec-1-5"
1935,"ec-2-2"
1942,"ec-1-6"
1954,"ec-1-6"
1958,"ec-1-6"
1959,"ec-1-6"
1966,"ec-1-6"
1975,"ec-1-6"
1976,"ec-1-1"
1982,"ec-1-5"
1983,"ec-1-6"
1984,"ec-2-1"
1993,"ec-1-6"
2000,"ec-1-6"
2001,"ec-1-6"
2003,"ec-1-6"
2012,"ec-1-6"
2022,"ec-1-6"
2024,"ec-2-1"
2026,"ec-1-6"
2033,"ec-1-6"
2034,"ec-1-6"
2037,"ec-1-6"
2038,"ec-2-2"
2049,"ec-1-5"
2056,"ec-1-6"
2062,"ec-1-6"
2065,"ec-1-5"
2069,"ec-1-1"
2079,"ec-1-6"
2080,"ec-1-2"
2089,"ec-1-6"
2091,"ec-1-6"
2094,"ec-2-1"
2095,"ec-2-2"
2098,"ec-1-6"
2101,"ec-2-1"
2102,"ec-1-6"
2113,"ec-1-6"
2114,"ec-1-6"
2117,"ec-1-6"
2122,"ec-2-2"
2132,"ec-1-5"
2136,"ec-2-1"
2138,"ec-1-6"
2139,"ec-1-6"
2143,"ec-1-5"
2147,"ec-2-2"
2151,"ec-1-6"
2154,"ec-1-2"
2156,"ec-1-6"
2159,"ec-2-1"
2161,"ec-1-6"
2164,"ec-1-6"
2172,"ec-1-6"
2175,"ec-1-6"
2179,"ec-1-6"
2180,"ec-1-6"
2182,"ec-1-6"
2183,"ec-1-5"
2184,"ec-1-6"
2187,"ec-1-6"
2188,"ec-1-6"
2189,"ec-1-1"
2190,"ec-1-6"
2192,"ec-1-6"
2194,"ec-1-6"
2197,"ec-1-5"
2200,"ec-1-5"
2201,"ec-1-6"
2202,"ec-1-6"
2204,"ec-2-1"
2213,"ec-1-6"
2218,"ec-2-2"
2219,"ec-1-5"
2226,"ec-1-6"
2228,"ec-2-1"
2231,"ec-1-6"
2233,"ec-1-6"
2234,"ec-1-5"
2237,"ec-1-1"
2239,"ec-1-6"
2240,"ec-1-6"
2241,"ec-2-1"
2243,"ec-1-5"
2244,"ec-1-6"
2247,"ec-1-6"
2255,"ec-1-6"
2257,"ec-1-6"
2262,"ec-1-6"
2266,"ec-1-6"
2267,"ec-1-6"
2271,"ec-1-6"
2277,"ec-1-6"
2283,"ec-1-5"
2284,"ec-1-6"
2289,"ec-1-5"
2290,"ec-1-6"
2292,"ec-1-5"
2293,"ec-1-6"
2296,"ec-1-5"
2298,"ec-1-5"
2307,"ec-1-6"
2308,"ec-1-6"
2310,"ec-1-5"
2315,"ec-1-6"
2316,"ec-1-6"
2319,"ec-2-1"
2325,"ec-1-6"
2326,"ec-1-5"
2327,"ec-1-6"
2329,"ec-1-6"
2338,"ec-1-5"
2341,"ec-1-6"
2365,"ec-1-6"
2366,"ec-1-6"
2367,"ec-2-2"
2369,"ec-1-6"
2372,"ec-1-6"
2373,"ec-1-6"
2382,"ec-1-6"
2385,"ec-1-6"
2386,"ec-2-1"
2389,"ec-1-6"
2391,"ec-1-6"
2404,"ec-1-6"
2405,"ec-1-5"
2406,"ec-1-6"
2408,"ec-1-6"
2410,"ec-2-2"
2417,"ec-1-6"
2419,"ec-1-6"
2422,"ec-2-2"
2428,"ec-1-6"
2431,"ec-2-1"
2436,"ec-1-3"
2437,"ec-1-6"
2440,"ec-1-6"
2443,"ec-1-6"
2449,"ec-1-5"
2453,"ec-1-6"
2456,"ec-1-6"
2458,"ec-2-1"
2460,"ec-2-2"
2464,"ec-1-6"
2466,"ec-2-2"
2468,"ec-1-6"
2469,"ec-1-6"
2474,"ec-1-5"
2478,"ec-1-6"
2481,"ec-1-6"
2484,"ec-1-6"
2487,"ec-1-6"
2492,"ec-1-6"
2493,"ec-1-6"
2494,"ec-1-6"
2499,"ec-1-6"
2514,"ec-1-6"
2518,"ec-1-6"
2525,"ec-1-6"
2528,"ec-1-6"
2530,"ec-1-6"
2532,"ec-1-5"
2535,"ec-1-6"
2541,"ec-2-1"
2554,"ec-1-6"
2557,"ec-1-6"
2559,"ec-1-6"
2567,"ec-1-6"
2571,"ec-1-6"
2572,"ec-2-1"
2574,"ec-1-2"
2576,"ec-1-6"
2580,"ec-1-5"
2584,"ec-1-2"
2595,"ec-1-6"
2608,"ec-2-1"
2609,"ec-1-6"
2615,"ec-1-6"
2628,"ec-1-6"
2633,"ec-1-6"
2641,"ec-1-5"
2648,"ec-1-6"
2660,"ec-1-6"
2668,"ec-1-6"
2671,"ec-2-1"
2672,"ec-1-5"
2677,"ec-1-6"
2680,"ec-1-6"
2683,"ec-1-6"
2691,"ec-1-6"
2697,"ec-1-5"
2702,"ec-1-6"
2703,"ec-1-5"
2704,"ec-1-6"
2706,"ec-1-6"
2722,"ec-1-5"
2723,"ec-1-6"
2725,"ec-1-6"
2736,"ec-2-1"
2739,"ec-1-6"
2742,"ec-1-1"
2743,"ec-1-2"
2759,"ec-2-2"
2761,"ec-2-1"
2764,"ec-1-5"
2766,"ec-1-5"
2767,"ec-1-6"
2768,"ec-1-6"
2771,"ec-1-6"
2773,"ec-1-6"
2774,"ec-2-1"
2776,"ec-1-6"
2778,"ec-2-2"
2780,"ec-1-6"
2789,"ec-1-5"
2791,"ec-2-1"
2793,"ec-1-6"
2797,"ec-1-6"
2800,"ec-2-1"
2805,"ec-1-6"
2811,"ec-1-6"
2816,"ec-1-6"
2820,"ec-1-6"
2821,"ec-1-6"
2825,"ec-1-6"
2847,"ec-1-6"
2848,"ec-2-2"
2856,"ec-1-6"
2864,"ec-1-6"
2866,"ec-1-5"
2873,"ec-2-1"
2877,"ec-1-6"
2881,"ec-1-6"
2888,"ec-1-6"
2890,"ec-1-6"
2891,"ec-1-6"
2897,"ec-1-6"
2901,"ec-1-6"
2911,"ec-1-6"
2920,"ec-1-6"
2921,"ec-1-6"
2933,"ec-1-5"
2947,"ec-2-1"
2954,"ec-2-1"
2955,"ec-1-6"
2958,"ec-1-6"
2962,"ec-1-6"
2963,"ec-1-6"
2964,"ec-1-5"
2966,"ec-2-1"
2972,"ec-1-6"
2974,"ec-1-6"
2977,"ec-1-6"
2982,"ec-1-6"
2986,"ec-1-6"
2987,"ec-1-6"
2989,"ec-1-6"
2994,"ec-1-6"
2998,"ec-1-5"
3011,"ec-1-6"
3012,"ec-1-6"
3013,"ec-1-6"
3018,"ec-1-6"
3032,"ec-1-6"
3036,"ec-1-6"
3042,"ec-1-6"
3052,"ec-2-2"
3056,"ec-1-6"
3059,"ec-1-6"
3060,"ec-1-5"
3061,"ec-1-6"
3064,"ec-2-1"
3066,"ec-1-6"
3077,"ec-1-6"
3087,"ec-1-6"
3100,"ec-1-6"
3101,"ec-1-6"
3103,"ec-1-6"
3110,"ec-1-6"
3112,"ec-1-6"
3115,"ec-1-6"
3118,"ec-1-6"
3124,"ec-1-6"
3135,"ec-1-6"
3151,"ec-1-6"
3152,"ec-1-6"
3153,"ec-1-6"
3154,"ec-1-6"
3168,"ec-1-5"
3172,"ec-1-6"
3175,"ec-1-6"
3183,"ec-1-6"
3188,"ec-1-6"
3189,"ec-1-6"
3190,"ec-2-2"
3191,"ec-1-6"
3193,"ec-1-6"
3202,"ec-1-5"
3206,"ec-1-5"
3210,"ec-1-3"
3215,"ec-1-6"
3220,"ec-2-2"
3228,"ec-1-6"
3240,"ec-2-1"
3242,"ec-1-6"
3247,"ec-1-6"
3256,"ec-2-1"
3258,"ec-1-6"
3270,"ec-1-5"
3287,"ec-1-6"
3299,"ec-1-6"
3300,"ec-1-6"
3302,"ec-1-6"
3303,"ec-1-6"
3305,"ec-1-5"
3309,"ec-1-6"
3311,"ec-1-5"
3314,"ec-1-6"
3316,"ec-1-6"
3318,"ec-1-6"
3319,"ec-2-2"
3324,"ec-1-6"
3325,"ec-1-5"
3335,"ec-1-6"
3337,"ec-1-6"
3340,"ec-1-6"
3349,"ec-1-6"
3351,"ec-1-6"
3355,"ec-1-6"
3357,"ec-1-6"
3362,"ec-1-2"
3363,"ec-1-6"
3365,"ec-1-6"
3367,"ec-1-6"
3376,"ec-1-6"
3379,"ec-1-6"
3383,"ec-1-1"
3388,"ec-1-6"
3390,"ec-1-6"
3393,"ec-1-6"
3395,"ec-1-6"
3400,"ec-1-6"
3406,"ec-1-6"
3409,"ec-1-6"
3422,"ec-1-5"
3423,"ec-1-6"
3432,"ec-1-6"
3437,"ec-1-6"
3444,"ec-1-6"
3447,"ec-2-1"
3448,"ec-1-6"
3452,"ec-1-6"
3453,"ec-1-6"
3454,"ec-1-6"
3458,"ec-1-6"
3460,"ec-1-6"
3462,"ec-1-6"
3469,"ec-1-6"
3471,"ec-2-1"
3477,"ec-1-6"
3478,"ec-1-6"
3482,"ec-1-6"
3487,"ec-1-5"
3494,"ec-1-6"
3495,"ec-1-6"
3509,"ec-1-6"
3515,"ec-1-6"
3518,"ec-1-6"
3527,"ec-1-6"
3533,"ec-1-6"
3537,"ec-1-6"
3538,"ec-1-6"
3543,"ec-1-1"
3544,"ec-1-5"
3557,"ec-2-1"
3560,"ec-1-6"
3564,"ec-1-6"
3570,"ec-1-5"
3571,"ec-1-6"
3572,"ec-1-6"
3574,"ec-2-1"
3575,"ec-1-6"
3577,"ec-1-6"
3578,"ec-1-6"
3585,"ec-1-6"
3587,"ec-1-5"
3590,"ec-1-6"
3597,"ec-1-6"
3599,"ec-1-6"
3610,"ec-2-1"
3613,"ec-1-6"
3617,"ec-1-6"
3623,"ec-1-6"
3630,"ec-2-1"
3632,"ec-1-6"
3635,"ec-1-6"
3643,"ec-1-6"
3644,"ec-1-6"
3650,"ec-1-6"
3651,"ec-1-6"
3653,"ec-1-6"
3654,"ec-1-6"
3656,"ec-1-6"
3657,"ec-1-6"
3658,"ec-2-2"
3662,"ec-1-6"
3674,"ec-1-5"
3675,"ec-1-5"
3683,"ec-1-6"
3684,"ec-1-6"
3690,"ec-1-5"
3696,"ec-1-6"
3699,"ec-1-6"
3704,"ec-2-1"
3708,"ec-2-2"
3711,"ec-1-6"
3715,"ec-1-6"
3723,"ec-1-6"
3733,"ec-1-5"
3736,"ec-1-6"
3754,"ec-2-2"
3756,"ec-1-6"
3758,"ec-1-6"
3763,"ec-1-6"
3766,"ec-1-6"
3770,"ec-1-6"
3771,"ec-1-6"
3773,"ec-2-1"
3775,"ec-1-6"
3776,"ec-1-6"
3777,"ec-1-6"
3778,"ec-1-6"
3780,"ec-1-5"
3786,"ec-1-6"
3789,"ec-1-6"
3791,"ec-2-2"
3792,"ec-1-5"
3796,"ec-1-6"
3804,"ec-2-1"
3805,"ec-1-6"
3808,"ec-1-6"
3809,"ec-1-6"
3812,"ec-1-5"
3813,"ec-1-6"
3818,"ec-1-6"
3821,"ec-1-6"
3823,"ec-2-2"
3824,"ec-1-6"
3827,"ec-1-5"
3828,"ec-1-6"
3829,"ec-1-6"
3830,"ec-1-5"
3832,"ec-2-2"
3840,"ec-1-6"
3841,"ec-2-2"
3844,"ec-1-5"
3847,"ec-1-6"
3849,"ec-1-5"
3851,"ec-1-6"
3852,"ec-1-6"
3857,"ec-1-6"
3861,"ec-1-6"
3865,"ec-1-3"
3866,"ec-2-1"
3869,"ec-1-6"
3871,"ec-1-5"
3877,"ec-1-6"
3881,"ec-1-5"
3882,"ec-1-6"
3884,"ec-2-1"
3887,"ec-1-6"
3896,"ec-1-6"
3906,"ec-1-6"
3908,"ec-1-6"
3911,"ec-1-5"
3912,"ec-1-6"
3916,"ec-2-1"
3922,"ec-1-6"
3936,"ec-1-6"
3943,"ec-1-6"
3952,"ec-1-1"
3953,"ec-1-6"
3954,"ec-2-1"
3955,"ec-1-6"
3963,"ec-1-6"
3971,"ec-1-6"
3975,"ec-1-6"
3980,"ec-2-1"
3981,"ec-1-6"
3983,"ec-1-6"
3989,"ec-1-6"
3990,"ec-1-5"
3992,"ec-2-1"
3993,"ec-1-5"
3999,"ec-1-6"
4001,"ec-1-6"
4004,"ec-1-6"
4009,"ec-2-1"
4013,"ec-1-6"
4021,"ec-2-2"
4023,"ec-1-6"
4029,"ec-2-1"
4032,"ec-1-6"
4047,"ec-1-6"
4064,"ec-1-6"
4065,"ec-1-6"
4066,"ec-1-6"
4075,"ec-1-6"
4078,"ec-1-6"
4079,"ec-1-6"
4084,"ec-2-2"
4088,"ec-1-6"
4090,"ec-1-6"
4093,"ec-1-6"
4100,"ec-2-1"
4107,"ec-1-6"
4110,"ec-1-6"
4111,"ec-1-6"
4116,"ec-1-6"
4123,"ec-1-6"
4128,"ec-1-1"
4134,"ec-2-2"
4140,"ec-1-2"
4143,"ec-1-6"
4144,"ec-1-6"
4145,"ec-1-6"
4147,"ec-1-6"
4149,"ec-1-4"
4151,"ec-2-1"
4153,"ec-1-6"
4158,"ec-1-6"
4159,"ec-2-1"
4175,"ec-1-6"
4180,"ec-1-6"
4183,"ec-1-6"
4185,"ec-1-6"
4195,"ec-2-1"
4201,"ec-1-6"
4205,"ec-1-5"
4209,"ec-1-5"
4210,"ec-1-5"
4212,"ec-1-6"
4215,"ec-2-1"
4218,"ec-1-6"
4219,"ec-1-6"
4221,"ec-2-2"
4222,"ec-1-6"
4223,"ec-1-5"
4225,"ec-1-6"
4226,"ec-2-2"
4241,"ec-1-6"
4261,"ec-1-5"
4262,"ec-1-6"
4268,"ec-1-6"
4270,"ec-2-1"
4271,"ec-2-2"
4278,"ec-1-6"
4284,"ec-1-6"
4285,"ec-1-6"
4287,"ec-1-5"
4289,"ec-1-6"
4295,"ec-1-5"
4300,"ec-1-6"
4302,"ec-1-6"
4306,"ec-1-5"
4312,"ec-1-6"
4314,"ec-1-6"
4317,"ec-1-2"
4324,"ec-1-6"
4325,"ec-1-5"
4327,"ec-1-6"
4330,"ec-1-5"
4333,"ec-1-6"
4335,"ec-1-6"
4337,"ec-2-2"
4338,"ec-1-6"
4341,"ec-1-6"
4345,"ec-1-5"
4346,"ec-1-6"
4359,"ec-1-6"
4363,"ec-1-5"
4364,"ec-1-6"
4365,"ec-1-6"
4366,"ec-1-5"
4371,"ec-1-6"
4372,"ec-2-2"
4378,"ec-1-6"
4381,"ec-1-6"
4385,"ec-1-6"
4389,"ec-1-6"
4390,"ec-1-6"
4401,"ec-1-5"
4402,"ec-1-6"
4406,"ec-1-6"
4416,"ec-1-6"
4417,"ec-2-2"
4419,"ec-1-6"
4422,"ec-1-6"
4425,"ec-1-6"
4452,"ec-1-6"
4453,"ec-1-6"
4454,"ec-2-2"
4456,"ec-1-5"
4461,"ec-1-6"
4462,"ec-1-5"
4465,"ec-1-6"
4471,"ec-2-1"
4472,"ec-1-6"
4475,"ec-1-6"
4477,"ec-2-1"
4486,"ec-1-6"
4488,"ec-1-6"
4495,"ec-1-6"
4496,"ec-1-6"
4497,"ec-1-5"
4503,"ec-1-2"
4506,"ec-1-6"
4511,"ec-2-2"
4532,"ec-1-6"
4542,"ec-1-6"
4554,"ec-1-6"
4556,"ec-1-6"
4567,"ec-1-6"
4572,"ec-1-6"
4573,"ec-2-2"
4588,"ec-1-6"
4594,"ec-1-6"
4598,"ec-1-6"
4599,"ec-1-6"
4600,"ec-2-1"
4601,"ec-1-6"
4603,"ec-1-6"
4613,"ec-1-6"
4615,"ec-1-1"
4616,"ec-1-6"
4630,"ec-1-6"
4643,"ec-1-6"
4645,"ec-1-6"
4651,"ec-1-6"
4655,"ec-1-6"
4661,"ec-1-6"
4667,"ec-1-6"
4669,"ec-2-1"
4671,"ec-1-1"
4673,"ec-1-6"
4677,"ec-2-1"
4692,"ec-1-6"
4696,"ec-1-6"
4699,"ec-1-6"
4701,"ec-1-6"
4702,"ec-1-6"
4707,"ec-1-6"
4708,"ec-1-6"
4713,"ec-1-6"
4715,"ec-2-1"
4723,"ec-2-2"
4730,"ec-2-1"
4738,"ec-1-6"
4739,"ec-1-6"
4740,"ec-1-6"
4741,"ec-1-6"
4752,"ec-1-6"
4753,"ec-1-6"
4754,"ec-1-6"
4774,"ec-1-5"
4782,"ec-1-6"
4783,"ec-1-6"
4785,"ec-1-3"
4805,"ec-1-6"
4809,"ec-1-6"
4813,"ec-2-1"
4820,"ec-1-6"
4821,"ec-1-6"
4824,"ec-2-1"
4828,"ec-1-6"
4829,"ec-1-6"
4833,"ec-1-6"
4834,"ec-1-6"
4838,"ec-1-6"
4840,"ec-1-6"
4847,"ec-1-6"
4850,"ec-1-6"
4854,"ec-1-5"
4858,"ec-1-6"
4861,"ec-2-1"
4862,"ec-1-2"
4864,"ec-1-6"
4866,"ec-1-6"
4870,"ec-1-6"
4888,"ec-1-5"
4892,"ec-1-6"
4893,"ec-1-6"
4899,"ec-1-6"
4900,"ec-1-6"
4904,"ec-1-6"
4907,"ec-1-5"
4911,"ec-1-6"
4912,"ec-1-6"
4917,"ec-2-2"
4920,"ec-1-6"
4924,"ec-1-6"
4925,"ec-1-6"
4927,"ec-2-2"
4931,"ec-1-6"
4932,"ec-1-6"
4936,"ec-1-6"
4937,"ec-1-6"
4940,"ec-1-6"
4944,"ec-1-6"
4946,"ec-1-6"
4948,"ec-1-6"
4950,"ec-1-6"
4951,"ec-1-5"
4954,"ec-2-1"
4957,"ec-1-6"
4964,"ec-1-6"
4977,"ec-1-6"
4982,"ec-1-6"
4983,"ec-2-1"
4984,"ec-1-6"
4987,"ec-2-1"
4993,"ec-2-2"
4997,"ec-1-6"
5004,"ec-1-6"
