pkey,ECO_SECT,previous_dep,job_dep,work_desc,Type_of_contract,JOB_CATEGORY,work_condition,employer_type,working_hours,employee_count
899,"QB","37","37","563a","AUT","O","P","ct_2",1219,"tr_6"
915,"HZ","07","07","451a","CDI","O","P","ct_9",1281,"tr_2"
929,"HZ","62","62","333c","CDI","O","C","ct_9",547,"tr_2"
942,"SZ","95","93","423b","CDD","O","C","ct_8",1022,"tr_4"
964,"GZ","30","84","554e","CDD","O","P","ct_9",194,"tr_1"
966,"CA","93","93","636c","CDI","O","C","ct_9",1897,"tr_2"
976,"CA","26","26","674c","CDI","O","C","ct_9",803,"tr_1"
984,"MC","39","39","643a","CDI","O","C",NA,427,NA
996,"HZ","05","05","643a","CDI","O","P","ct_9",1274,"tr_2"
1002,"MA","75","75","373c","CDI","O","N","ct_9",1820,"tr_1"
1007,"QB","37","37","563c","CDI","O","P","ct_9",278,"tr_3"
1009,"GZ","40","40","554f","CDI","O","P","ct_9",253,"tr_1"
1013,"TZ","56","56","563c","CDI","O","C",NA,648,NA
1017,"MA","77","75","373d","CDI","O","C","ct_9",2200,"tr_1"
1026,"QB","95","95","563a","CDI","O","N","ct_7",3000,"tr_1"
1031,"FZ","51","51","632g","CDI","O","C","ct_9",1598,"tr_5"
1038,"HZ","83","83","486d","CDI","O","C","ct_9",952,"tr_3"
1041,"OZ","91","91","543g","CDI","O","C","ct_1",1820,"tr_4"
1047,"OZ","44","44","451g","CDI","O","P","ct_2",1455,"tr_6"
1064,"QA","78","75","542a","CDI","O","C","ct_8",1443,"tr_6"
1075,"GZ","75","75","553b","CDI","O","C","ct_9",1702,"tr_6"
1085,"NZ","93","93","534a","CDI","O","C","ct_9",1631,"tr_6"
1090,"QB","56","56","563a","CDI","O","N","ct_7",2353,"tr_1"
1107,"HZ","37","37","451a","CDI","O","P","ct_9",1274,"tr_5"
1108,"GZ","85","85","542a","CDI","O","P","ct_9",889,"tr_1"
1110,"AZ","49","49","691d","CDI","O","P",NA,134,NA
1122,"PZ","26","26","431f","CDI","O","C","ct_8",1842,"tr_5"
1129,"QB","33","33","526d","CDI","O","C","ct_8",1820,"tr_4"
1135,"PZ","75","75","632k","CDI","O","C","ct_9",1645,"tr_4"
1139,"KZ","92","75","545c","CDI","O","C","ct_9",1991,"tr_6"
1145,"HZ","73","73","621c","CDI","O","C","ct_9",1676,"tr_5"
1148,"CA","16","16","652a","CDI","O","P","ct_9",797,"tr_5"
1152,"QA","71","71","632k","CDI","O","P","ct_3",1091,"tr_5"
1155,"GZ","95","03","463b","CDI","O","C","ct_9",1596,"tr_2"
1156,"FZ",NA,NA,"621e","CDI","O","C","ct_9",1744,"tr_3"
1163,"QB","17","17","525d","CDI","O","C","ct_8",1849,"tr_3"
1166,"QA","34","34","525d","CDI","O","C","ct_9",1820,"tr_4"
1169,"QA","33","33","332b","CDI","O","C","ct_3",1820,"tr_6"
1173,"FZ","27","76","380a","CDI","O","C","ct_9",1813,"tr_4"
1175,"SZ","24","24","480a","CDI","O","C","ct_4",1820,"tr_5"
1188,"FZ","06","06","681a","CDI","O","C","ct_9",1708,"tr_1"
1208,"QB","85","85","525d","CDI","O","C","ct_8",1820,"tr_3"
1211,"SZ","49","49","636d","CDI","O","C","ct_8",259,"tr_1"
1213,"CL","52","52","672a","CDI","O","C","ct_9",1826,"tr_4"
1216,"EZ","37","37","651a","CDI","O","C","ct_9",2077,"tr_6"
1217,"CJ","38","38","477b","CDI","O","C","ct_9",1510,"tr_5"
1219,"CE","54","54","484a","CDI","O","C","ct_9",1768,"tr_6"
1267,"QB","18","18","525d","CDI","O","C","ct_8",1820,"tr_3"
1293,"GZ","01","01","542a","CDI","O","C","ct_9",1677,"tr_2"
1300,"FZ","76","76","462e","CDI","O","C","ct_9",1820,"tr_3"
1301,"GZ","94","77","463e","AUT","O","N","ct_9",572,"tr_5"
1306,"LZ","49","49","543g","CDI","O","C","ct_9",1820,"tr_6"
1310,"QB","86","86","684a","CDI","O","C","ct_8",1967,"tr_4"
1330,"GZ","30","84","554a","CDI","O","P","ct_9",440,"tr_6"
1332,"GZ","26","26","691b","CDI","O","P","ct_9",800,"tr_4"
1334,"FZ","83","83","632a","CDI","O","C","ct_9",1197,"tr_1"
1350,"IZ","06","06","468b","CDI","O","C","ct_9",1323,"tr_3"
1357,"GZ","92","95","676a","CDI","O","C","ct_9",2158,"tr_2"
1360,"GZ","78","78","461f","CDI","O","C","ct_9",1222,"tr_2"
1363,"QB","16","16","541b","AUT","X","P","ct_8",1075,"tr_1"
1376,"FZ","01","01","622c","CDI","O","C","ct_9",1505,"tr_2"
1378,"CA","76","76","674c","CDI","O","C","ct_9",1816,"tr_5"
1414,"NZ","81","31","684a","CDI","O","P","ct_9",874,"tr_6"
1426,"MA","95","92","543b","CDI","O","C","ct_9",1659,"tr_1"
1427,"CJ","72","72","473b","CDI","O","C","ct_9",1462,"tr_6"
1454,"CF","06","06","625c","CDI","O","C","ct_9",1785,"tr_6"
1474,"IZ","75","95","674c","CDI","O","C","ct_9",525,"tr_6"
1477,"OZ","75","75","333e","CDI","O","C","ct_1",1820,"tr_6"
1478,"QB","60","60","637d","CDI","O","P","ct_8",910,"tr_3"
1485,"GZ","54","54","554f","CDI","O","C","ct_9",1528,"tr_1"
1498,"FZ","62","62","481b","CDI","O","C","ct_9",1820,"tr_4"
1502,"NZ","65","31","684a","CDI","O","P",NA,856,"tr_5"
1507,"TZ","51","51","563a","CDI","O","N","ct_7",1262,"tr_1"
1514,"TZ","01","01","563c","AUT","O","P",NA,288,NA
1536,"OZ","30","30","524c","CDI","O","P","ct_2",1556,"tr_6"
1542,"QA","46","46","431d","CDI","O","P","ct_8",1220,"tr_6"
1544,"NZ","59","76","641a","CDI","O","C","ct_9",1411,"tr_4"
1563,"GZ","57","57","542a","CDI","O","P","ct_9",517,"tr_2"
1567,"IZ","06","06","468b","CDI","O","C","ct_9",1323,"tr_3"
1568,"QB","60","60","525d","CDI","O","C","ct_8",1512,"tr_4"
1570,"QA",NA,NA,"526a","CDI","O","P","ct_8",1766,"tr_3"
1572,"QB","76","76","344a","CDI","O","P","ct_3",1200,"tr_4"
1575,"QA","59","59","431f","CDI","O","P","ct_8",1638,"tr_3"
1596,"LZ","34","34","461f","CDI","O","C","ct_5",1820,"tr_5"
1600,"JC","27","94","388d","CDI","O","C","ct_9",364,"tr_6"
1621,"NZ","33","33","628b","CDI","O","C","ct_9",414,"tr_2"
1625,"QB","69","69","431f","CDI","O","C","ct_8",1820,"tr_4"
1628,"QA","16","16","526e","CDI","O","C","ct_9",1922,"tr_3"
1638,"CM","62","62","624b","CDI","O","C","ct_9",697,"tr_1"
1682,"GZ","62","62","551a","CDI","O","C","ct_9",2058,"tr_5"
1686,"GZ",NA,NA,"682a","CDI","O","C","ct_9",1634,"tr_2"
1696,"QB","50","50","434f","CDI","O","C","ct_8",1826,"tr_3"
1697,"CH","42","42","623g","CDI","O","C","ct_9",2200,"tr_4"
1719,"QB","31","31","563b","CDI","O","P","ct_8",832,"tr_3"
1723,"GZ","69","26","551a","CDI","O","C","ct_9",346,"tr_2"
1726,"QA","08","08","526e","CDI","O","C","ct_9",2021,"tr_3"
1733,"KZ","92","94","545c","CDI","O","C","ct_9",1820,"tr_6"
1736,"CF","41","41","652a","CDI","O","C","ct_9",1959,"tr_5"
1739,"HZ","14","14","641a","CDI","O","C","ct_9",1804,"tr_5"
1754,"HZ","83","83","521a","AUT","O","C","ct_9",1820,"tr_6"
1769,"OZ","59","59","545d","CDI","O","C","ct_8",1849,"tr_6"
1774,"NZ","34","34","684a","CDI","O","P","ct_9",1618,"tr_3"
1780,"FZ","77","77","632j","CDI","O","C","ct_9",1670,"tr_1"
1789,"CM","59","59","632f","CDI","O","C","ct_9",2141,"tr_2"
1799,"PZ","38","38","525a","CDI","O","P","ct_8",1689,"tr_3"
1803,"NZ","69","69","534a","CDI","O","C","ct_9",1820,"tr_4"
1808,"IZ","13","13","488b","CDI","O","C","ct_9",942,"tr_2"
1826,"PZ","26","26","525a","CDI","O","P","ct_8",895,"tr_5"
1829,"QB","14","14","526a","CDI","O","C","ct_8",1797,"tr_3"
1836,"GZ","33","33","554a","CDI","O","P","ct_6",326,"tr_0"
1842,"CA","95","92","636c","CDI","O","C","ct_9",2012,"tr_2"
1845,"FZ","85","85","633a","CDI","O","C","ct_9",1517,"tr_3"
1850,"FZ","68","68","542a","CDI","O","P","ct_9",850,"tr_1"
1861,"QB","95","95","563b","AUT","O","C",NA,293,NA
1871,"SZ","75","92","376f","CDI","O","P","ct_8",1449,"tr_1"
1876,"QA","03","63","344b","CDI","O","P","ct_8",1738,"tr_1"
1879,"JC","78","92","373b","CDI","O","C","ct_9",1820,"tr_6"
1882,"NZ","78","78","684a","CDI","O","C","ct_9",2338,"tr_6"
1883,"CM","71","71","628a","CDI","O","C","ct_9",1348,"tr_2"
1892,"HZ","35","93","333e","CDI","O","C","ct_9",1796,"tr_6"
1898,"QA","91","75","526a","CDI","O","C","ct_8",1935,"tr_4"
1899,"CG","94","75","462e","CDI","O","C","ct_9",1813,"tr_5"
1907,"QA","34","34","542a","CDI","O","C","ct_9",1820,"tr_1"
1916,"QB","56","56","563b","CDI","O","P","ct_9",809,"tr_3"
1918,"PZ","03","03","423a","CDI","O","C","ct_9",1498,"tr_1"
1933,"PZ","60","60","451e","CDI","O","C","ct_1",1820,"tr_6"
1941,"IZ",NA,NA,"477a","CDI","O","C","ct_9",1483,"tr_5"
1944,"KZ","07","69","467a","CDI","O","N","ct_5",765,"tr_5"
1945,"CI","13","13","383a","CDI","O","C","ct_9",1820,"tr_6"
1948,"NZ","69","69","684a","CDI","O","P","ct_9",1359,"tr_6"
1953,"CG","27","27","674a","CDI","O","C","ct_9",219,"tr_2"
1956,"OZ","62","62","434b","CDI","O","C","ct_8",2044,"tr_2"
1960,"CG","60","60","676c","CDI","O","C","ct_9",887,"tr_4"
1962,"QB","13","13","563b","CDI","O","N","ct_7",398,"tr_1"
1978,"QB","09","09","461f","CDI","O","C","ct_8",2316,"tr_1"
1979,"QB","75","75","563b","CDI","O","P","ct_9",1111,"tr_4"
1981,"CH","95","02","628a","CDI","O","C","ct_9",1426,"tr_0"
1986,"NZ","69","69","684a","CDI","O","P",NA,180,"tr_6"
1987,"TZ","13","13","563c","CDI","O","N","ct_7",1908,"tr_1"
1989,"FZ","93","77","632a","CDI","O","C","ct_9",804,"tr_3"
1990,"SZ","78","78","435b","CDI","O","C",NA,168,NA
1992,"PZ","85","44","524b","CDI","O","C",NA,208,NA
1995,"QB","75","92","526a","CDI","O","C","ct_9",1775,"tr_3"
2004,"CI","44","44","473c","CDI","O","C","ct_9",1488,"tr_6"
2015,"MA","29","29","461e","CDI","O","P","ct_8",1482,"tr_1"
2040,"TZ","15","15","563c","CDI","O","N",NA,1098,NA
2041,"NZ","69","69","684a","CDI","O","P","ct_9",1003,"tr_3"
2047,"MC","85","92","463d","CDI","O","C","ct_9",1575,"tr_6"
2053,"FZ","84","84","684a","CDI","O","P","ct_9",1170,"tr_5"
2059,"NZ","78","92","486e","CDI","O","C","ct_9",1919,"tr_3"
2066,"NZ",NA,NA,"671c","TTP","O","C","ct_9",943,"tr_1"
2073,"QB","73","73","563b","AUT","O","P","ct_2",872,"tr_3"
2090,"QB","29","29","563b","CDI","O","C",NA,328,NA
2093,"IZ","83","83","486b","CDI","O","C","ct_8",1820,"tr_3"
2097,"QB","49","49","563a","CDI","O","N","ct_7",1795,"tr_0"
2100,"GZ","64","64","554d","CDI","O","C","ct_9",1622,"tr_3"
2105,"CM","91","91","681b","CDI","O","C","ct_9",1891,"tr_0"
2106,"GZ","17","17","554c","CDI","O","C","ct_9",1535,"tr_2"
2118,"GZ","01","01","552a","CDI","O","P","ct_9",370,"tr_3"
2121,"QB","62","62","563b","CDI","O","N","ct_7",1263,"tr_1"
2123,"AZ","49","49","691d","CDI","O","P",NA,134,NA
2128,"MA","57","57","372d","CDI","O","C","ct_9",1376,"tr_1"
2129,"QB","47","47","431f","CDI","O","C","ct_8",1815,"tr_4"
2131,"NZ","78","95","676c","TTP","O","C","ct_9",600,"tr_1"
2173,"IZ","85","85","561d","CDD","O","P","ct_9",669,"tr_1"
2176,"CE","69","69","475b","CDI","O","C","ct_9",1601,"tr_5"
2178,"GZ","35","35","676c","CDI","O","C","ct_9",1820,"tr_4"
2191,"FZ","11","11","477b","CDI","O","C","ct_9",1820,"tr_3"
2196,"FZ","63","63","632a","CDI","O","C","ct_9",1742,"tr_5"
2206,"OZ","03","03","467d","CDI","O","C","ct_8",1939,"tr_3"
2230,"QA","55","55","542a","CDI","O","C","ct_6",720,"tr_1"
2248,"NZ","75","92","684a","CDI","O","P","ct_9",1466,"tr_6"
2253,"OZ","06","83","531b","AUT","O","C","ct_2",1997,"tr_6"
2256,"QA","49","49","431f","CDI","O","C","ct_8",1632,"tr_6"
2273,"QA","91","91","433a","CDI","O","C","ct_9",2998,"tr_3"
2279,"CL","41","45","673c","CDI","O","C","ct_9",1099,"tr_4"
2282,"QA","64","64","643a","CDI","O","P","ct_9",361,"tr_3"
2295,"QA","30","30","526a","CDI","O","C","ct_3",1814,"tr_5"
2297,"PZ","13","13","543h","CDI","O","C","ct_8",710,"tr_0"
2302,"MA","72","72","461e","CDI","O","C","ct_6",1708,"tr_1"
2311,"QA","38","69","526b","CDI","O","C","ct_8",1724,"tr_6"
2322,"GZ","22","22","477c","CDI","O","P","ct_9",1046,"tr_1"
2328,"QB","55","55","563a","CDI","O","N","ct_7",3000,"tr_1"
2333,"RZ","71","71","465b","CDD","O","N","ct_9",315,"tr_2"
2336,"NZ","77","92","684a","CDI","O","C","ct_9",1673,"tr_5"
2348,"GZ","57","57","543b","CDI","O","P","ct_9",1106,"tr_1"
2354,"NZ","77","77","676a","CDI","O","C","ct_9",1494,"tr_4"
2362,"GZ","69","69","462e","CDI","O","C","ct_9",1393,"tr_4"
2368,"IZ","40","40","636d","AUT","X","C","ct_9",766,"tr_1"
2376,"CH","49","49","543b","CDI","O","C","ct_9",1220,"tr_2"
2378,"JB","38","69","478d","CDI","O","C","ct_9",1820,"tr_5"
2399,"MC","74","74","643a","AUT","O","C",NA,345,NA
2401,"QA","15","46","431b","CDI","O","C","ct_8",1062,"tr_3"
2403,"OZ","36","36","434b","CDI","O","C","ct_8",2020,"tr_5"
2416,"QA","13","13","632k","AUT","O","C","ct_3",755,"tr_6"
2420,"IZ","75","75","488a","CDI","O","C","ct_9",1555,"tr_0"
2424,"QB","24","24","632k","CDI","O","P","ct_8",987,"tr_3"
2427,"OZ","33","33","333a","CDI","O","P","ct_1",834,"tr_5"
2438,"GZ","07","07","653a","CDI","O","C","ct_9",1646,"tr_2"
2454,"QA","63","63","526a","CDI","O","C","ct_8",1517,"tr_5"
2461,"QB","34","34","526a","CDI","O","C","ct_8",1820,"tr_4"
2462,"PZ","59","59","423a","CDI","O","C","ct_9",1440,"tr_1"
2486,"TZ","72","61","563c","AUT","O","C",NA,457,NA
2501,"CL","62","62","625c","CDI","O","C","ct_9",1754,"tr_5"
2502,"GZ","13","13","462e","CDI","O","C","ct_9",1820,"tr_2"
2505,"QB","35","35","563a","CDI","O","N","ct_7",898,"tr_1"
2512,"QB","39","39","525d","CDI","O","C","ct_8",1820,"tr_4"
2513,"HZ","68","68","691e","CDI","O","C","ct_9",2200,"tr_2"
2515,"KZ","69","69","545c","CDI","O","C","ct_9",1482,"tr_1"
2523,"QB","28","28","563a","CDI","O","N","ct_7",2753,"tr_0"
2527,"NZ","60","60","673b","TTP","O","C","ct_9",1359,"tr_3"
2536,"QA","78","78","431a","CDI","O","C","ct_3",1820,"tr_6"
2538,"MA","31","31","382b","CDI","O","C","ct_9",1795,"tr_1"
2539,"GZ","85","85","463b","CDI","O","C","ct_9",1820,"tr_3"
2542,"PZ","62","62","422c","CDI","O","C","ct_8",910,"tr_4"
2548,"HZ","83","83","643a","CDI","O","C","ct_9",1831,"tr_3"
2550,"GZ","83","83","676c","CDI","O","C","ct_9",317,"tr_6"
2551,"PZ","67","67","424a","CDI","O","C","ct_8",1058,"tr_1"
2562,"GZ","35","35","552a","CDI","O","P","ct_9",624,"tr_6"
2564,"OZ","44","85","434d","AUT","O","C","ct_2",1542,"tr_6"
2565,"NZ","13","84","676c","TTP","O","C","ct_9",1135,"tr_1"
2577,"QA","56","56","526a","CDI","O","C","ct_9",1820,"tr_6"
2586,"IZ","77","77","643a","CDI","O","C","ct_9",627,"tr_6"
2604,"QB","76","76","525d","CDI","O","P","ct_2",839,"tr_6"
2607,"CH","56","56","462e","CDI","O","C","ct_9",1361,"tr_1"
2617,"QB","63","63","526d","CDD","O","C","ct_8",1800,"tr_4"
2622,"OZ","57","57","451e","CDI","O","C","ct_1",1820,"tr_2"
2627,"CK","08","08","372a","CDI","O","C","ct_9",1526,"tr_4"
2636,"QB","11","11","563a","CDI","O","N","ct_7",1304,"tr_0"
2642,"JA","92","93","354f","CDD","O","N","ct_9",2221,"tr_5"
2645,"QB","59","59","434d","AUT","O","C","ct_1",1820,"tr_4"
2684,"PZ","37","37","422b","CDI","O","C","ct_8",1825,"tr_4"
2685,"GZ","59",NA,"463c","CDI","O","C","ct_9",1820,"tr_1"
2692,"QA","59","59","526a","CDI","O","C","ct_8",925,"tr_5"
2696,"OZ","60","60","467d","CDI","O","P","ct_8",1470,"tr_6"
2700,"OZ",NA,NA,"524c","AUT","O","C","ct_2",1820,"tr_6"
2708,"QB","73","73","526d","CDI","O","C","ct_8",1641,"tr_4"
2711,"GZ","35","35","553c","CDI","O","C","ct_9",1911,"tr_5"
2731,"TZ","68","68","563c","CDI","O","C",NA,842,NA
2734,"MA","92","92","543g","CDI","O","P","ct_9",993,"tr_1"
2744,"JA","29","29","542b","CDI","O","C","ct_9",1818,"tr_6"
2751,"QB","47","47","563b","CDI","O","C",NA,166,NA
2755,"QA","44","44","526a","CDI","O","P","ct_8",1139,"tr_3"
2758,"FZ","68","68","632f","CDI","O","C","ct_9",1666,"tr_3"
2777,"QA","47","47","526a","CDI","O","C","ct_9",1771,"tr_6"
2790,"OZ","93","93","372b","CDI","O","C","ct_8",2044,"tr_6"
2808,"FZ","13","13","621b","CDI","O","C","ct_9",1768,"tr_4"
2813,"QA","25","25","433a","AUT","O","P","ct_3",1638,"tr_6"
2822,"AZ","33","31","691c","AUT","O","C",NA,160,NA
2823,"MA","93","92","461d","CDI","O","C","ct_9",1820,"tr_5"
2837,"QB","81","81","563a","CDI","O","N","ct_7",3000,"tr_1"
2843,"PZ","13","13","543h","CDI","O","C","ct_8",1820,"tr_4"
2872,"CH","10","57","475b","CDI","O","C","ct_9",1315,"tr_6"
2876,"NZ","64","64","633a","TTP","O","C","ct_9",1217,"tr_2"
2882,"JC","06","06","388c","CDI","O","C","ct_9",1820,"tr_6"
2883,"CE","67","67","676c","CDI","O","C","ct_9",1828,"tr_5"
2896,"JB","75","92","372a","CDI","O","P","ct_9",886,"tr_6"
2909,"GZ","62","62","643a","CDI","O","C","ct_9",280,"tr_1"
2910,"GZ","31","67","372a","CDI","O","C","ct_9",2080,"tr_1"
2914,"QB","68","68","563a","CDI","O","N","ct_7",911,"tr_1"
2917,"QA","37","37","432b","CDI","O","C","ct_3",1819,"tr_6"
2918,"OZ","78","78","461f","CDI","O","C","ct_1",1820,"tr_4"
2919,"QA","12","12","525d","CDI","O","C",NA,458,NA
2922,"HZ","22","22","451a","CDI","O","P","ct_9",1274,"tr_4"
2926,"GZ","77","93","681b","CDI","O","C","ct_9",860,"tr_2"
2944,"GZ","76","76","462a","CDI","O","C","ct_9",409,"tr_1"
2959,"CL","44","44","676c","CDI","O","C","ct_9",1247,"tr_6"
2980,"TZ","87","87","563c","CDI","O","C",NA,721,NA
2985,"JA",NA,NA,"465b","CDI","O","P","ct_9",1145,"tr_5"
2991,"QA","35","35","433a","CDI","O","C","ct_9",1840,"tr_4"
