pkey,Type_of_contract,PAY,job_dep,employer_type,employee_count,work_condition,ECO_SECT,JOB_CATEGORY,working_hours,work_desc
302,"CDD",2713,"01","ct_3","tr_6","C","QA","O",228,"526a"
309,"TTP",4026,"01","ct_9","tr_1","C","NZ","O",461,"676c"
317,"CDI",10220,"69",NA,NA,"C","TZ","O",317,"563c"
327,"CDI",43307,"69","ct_1","tr_4","P","OZ","O",1443,"333e"
330,"CDI",18088,"71","ct_9","tr_0","C","FZ","O",1454,"632j"
334,"CDI",21753,"01","ct_9","tr_5","C","QA","O",1803,"526a"
336,"CDI",27348,"10","ct_9","tr_3","C","CB","O",1311,"463b"
340,"CDI",23378,"69","ct_9","tr_3","C","CK","O",1796,"474a"
344,"CDI",12937,"73","ct_8","tr_3","C","SZ","O",1224,"691c"
346,"CDI",40501,"69","ct_9","tr_4","C","GZ","O",1820,"387e"
352,"CDI",21365,"01","ct_9","tr_1","P","NZ","O",1896,"691e"
355,"CDI",18588,"01","ct_9","tr_5","C","NZ","O",1785,"684a"
362,"CDD",5974,"01","ct_9","tr_2","C","FZ","O",654,"676a"
364,"CDD",12888,"71","ct_9","tr_2","P","NZ","O",1308,"534a"
366,"APP",10226,"01","ct_9","tr_3","C","FZ","A",1621,"681a"
367,"CDI",12399,"01","ct_9","tr_2","C","FZ","O",1214,"681a"
370,"CDD",1967,"13","ct_8","tr_0","N","RZ","O",233,"465b"
371,"CDI",16968,"01","ct_9","tr_5","C","CL","O",1656,"674a"
387,"CDI",17723,"01","ct_9","tr_5","C","GZ","O",1614,"554c"
404,"CDI",2578,"01",NA,"tr_4","C","NZ","O",239,"534a"
412,"TTP",11921,"01","ct_9","tr_1","C","NZ","O",1235,"676a"
416,"CDI",25602,"01","ct_9","tr_1","C","KZ","O",1785,"467a"
422,"CDI",53761,"69","ct_8","tr_4","C","KZ","O",1659,"374c"
431,"CDI",46639,"01","ct_5","tr_5","C","LZ","O",1820,"331a"
432,"CDI",3992,"01",NA,NA,"C","IZ","O",344,"561d"
439,"CDI",35558,"01","ct_8","tr_4","C","QB","O",1724,"434a"
444,"CDI",16752,"01","ct_9","tr_5","C","CH","O",912,"676c"
460,"CDI",8314,"01","ct_9","tr_1","P","CH","O",954,"684a"
463,"CDI",27438,"69","ct_9","tr_5","C","HZ","O",1003,"477b"
466,"CDI",13331,"01","ct_6","tr_1","P","CA","O",1604,"554a"
468,"CDD",18280,"01","ct_3","tr_6","C","QA","O",1819,"526a"
479,"CDI",2501,"95",NA,NA,"N","OZ","O",151,"523c"
487,"CDI",17462,"01","ct_8","tr_3","C","QB","O",1582,"526d"
497,"CDI",27516,"69","ct_9","tr_6","C","CH","O",1397,"478c"
498,"CDI",29906,"38","ct_9","tr_3","C","HZ","O",1811,"546c"
499,"CDI",23972,"01","ct_9","tr_3","C","FZ","O",1770,"671c"
507,"CDI",21813,"69","ct_9","tr_4","C","FZ","O",1699,"632a"
509,"CDI",20197,"01","ct_7","tr_1","N","QB","O",3000,"563a"
510,"CDI",42109,"30","ct_9","tr_2","C","CE","O",1478,"385a"
513,"CDI",25818,"38","ct_9","tr_6","C","CB","O",1292,"627a"
520,"CDI",12934,"38","ct_9","tr_0","C","NZ","O",1087,"534a"
536,"CDI",15062,"71","ct_9","tr_2","C","QA","O",1569,"526e"
548,"CDI",20934,"01","ct_9","tr_2","C","NZ","O",1850,"543g"
549,"CDI",20598,"69","ct_9","tr_2","C","NZ","O",1704,"534a"
551,"CDI",41211,"01","ct_8","tr_5","C","QB","O",1820,"431a"
560,"CDI",49330,"01","ct_9","tr_6","C","CL","O",1820,"387d"
570,"CDI",27269,"01","ct_9","tr_2","C","GZ","O",1788,"486d"
573,"CDI",9633,"01","ct_9","tr_4","C","RZ","O",499,"561b"
576,"CDI",14250,"01","ct_9","tr_3","C","GZ","O",1768,"552a"
582,"CDI",16894,"01","ct_9","tr_6","C","CG","O",1766,"625c"
591,"CDI",37227,"01","ct_9","tr_6","C","CK","O",1753,"385c"
603,"CDI",18649,"01","ct_9","tr_1","C","GZ","O",1883,"554b"
613,"AUT",5804,"01","ct_3","tr_4","P","QB","O",341,"526a"
617,"CDI",27336,"69","ct_8","tr_4","C","PZ","O",1820,"341a"
625,"CDI",21244,"01","ct_9","tr_3","C","HZ","O",1853,"451a"
639,"AUT",30808,"01","ct_1","tr_5","C","OZ","O",1820,"451c"
663,"CDI",13475,"01","ct_9","tr_2","C","QA","O",716,"526e"
664,"CDI",22357,"92","ct_9","tr_5","C","KZ","O",1469,"461d"
670,"CDI",10690,"69","ct_8","tr_3","C","QB","O",928,"526c"
671,"CDI",30946,"01","ct_9","tr_3","C","CC","O",1736,"385b"
681,"CDI",20717,"69","ct_9","tr_2","C","FZ","O",1687,"633a"
686,"CDI",2941,"95",NA,NA,"N","OZ","O",151,"523c"
688,"CDI",50042,"01","ct_9","tr_6","C","DZ","O",1818,"386d"
694,"CDI",10406,"69","ct_8","tr_1","P","QB","O",833,"526c"
703,"TTP",6444,"01","ct_9","tr_1","C","NZ","O",581,"462e"
704,"CDI",53309,"69","ct_9","tr_4","C","MA","O",1806,"372a"
708,"CDI",18455,"01","ct_9","tr_6","C","CK","O",1804,"676c"
714,"TTP",15289,"01","ct_9","tr_1","N","NZ","O",1190,"674d"
720,"CDI",19560,"01","ct_9","tr_3","C","MC","O",1506,"526b"
722,"CDI",7397,"01","ct_9","tr_1","P","GZ","O",677,"433d"
725,"CDI",8009,"38","ct_9","tr_3","C","GZ","O",531,"462b"
729,"CDI",13462,"01","ct_9","tr_4","C","CJ","O",1540,"541d"
730,"CDI",12407,"01","ct_3","tr_6","P","QA","O",1372,"525d"
734,"CDI",34551,"69","ct_9","tr_1","C","GZ","O",1820,"433d"
742,"CDI",23288,"69","ct_9","tr_3","C","HZ","O",1799,"641a"
747,"CDI",11296,"01","ct_5","tr_3","C","HZ","O",1162,"641b"
758,"CDI",2199,"01",NA,NA,"C","GZ","O",152,"625g"
760,"CDI",10028,"01","ct_9","tr_2","P","QB","O",1336,"526c"
763,"CDI",19135,"01","ct_9","tr_3","C","GZ","O",1665,"462a"
764,"CDI",20886,"69","ct_9","tr_3","C","MA","O",1830,"676c"
769,"CDI",45932,"69","ct_9","tr_5","C","CE","O",1705,"475b"
774,"CDI",18638,"01","ct_9","tr_5","C","GZ","O",1208,"552a"
779,"CDI",18273,"01","ct_9","tr_3","C","CG","O",1728,"674a"
780,"CDI",19322,"01","ct_8","tr_1","C","PZ","O",1820,"421b"
787,"CDI",6433,"71",NA,NA,"C","IZ","O",773,"561e"
796,"AUT",1685,"01",NA,NA,"C","OZ","O",180,"524c"
801,"CDI",22098,"01","ct_9","tr_4","C","NZ","O",1716,"546c"
802,"CDI",7424,"01","ct_9","tr_1","C","GZ","O",306,"676c"
805,"CDI",3687,"01","ct_9","tr_3","C","GZ","O",366,"554c"
807,"CDI",32311,"01","ct_9","tr_5","C","CH","O",1958,"473c"
813,"CDI",9702,"01","ct_9","tr_3","C","GZ","O",1102,"551a"
818,"CDI",25928,"01","ct_9","tr_1","C","JB","O",1820,"554b"
819,"CDI",2889,"01",NA,NA,"N","IZ","O",145,"561c"
834,"CDI",18127,"01","ct_6","tr_1","P","QA","O",1229,"526a"
841,"CDD",14919,"01","ct_2","tr_2","C","OZ","O",1712,"524c"
843,"CDD",5498,"71","ct_9","tr_1","C","MA","X",768,"423b"
844,"CDI",25540,"01","ct_9","tr_2","C","CH","O",1871,"623g"
846,"CDI",2691,"95",NA,NA,"N","OZ","O",151,"523c"
859,"CDI",23216,"69","ct_9","tr_2","C","FZ","O",1593,"472c"
864,"CDI",28314,"69","ct_8","tr_3","C","OZ","O",2044,"545d"
865,"AUT",28998,"69","ct_3","tr_6","C","QA","O",1832,"431f"
866,"CDI",23525,"01","ct_9","tr_5","C","FZ","O",1783,"621a"
875,"CDI",21020,"69","ct_9","tr_6","C","HZ","O",1733,"641a"
876,"CDI",11688,"01","ct_8","tr_6","P","QB","O",1028,"563b"
878,"CDI",23565,"01","ct_9","tr_6","C","CB","O",2028,"635a"
879,"AUT",3744,"01","ct_9","tr_3","C","EZ","X",407,"684b"
882,"CDI",26974,"71","ct_9","tr_6","C","KZ","O",1820,"467a"
888,"CDI",39695,"01","ct_9","tr_3","C","GZ","O",2046,"461d"
892,"CDI",3785,"42","ct_9","tr_4","P","NZ","O",346,"534a"
894,"CDI",12137,"01","ct_9","tr_1","P","QA","O",1391,"684a"
911,"CDI",54236,"69","ct_9","tr_4","C","CC","O",1778,"374d"
913,"CDI",26368,"01","ct_8","tr_6","P","OZ","O",1766,"467d"
916,"CDI",21856,"01","ct_6","tr_1","C","FZ","O",1779,"632d"
918,"APP",2993,"01","ct_9","tr_2","C","FZ","A",413,"681b"
922,"APP",17977,"69","ct_9","tr_3","C","DZ","A",2018,"625h"
933,"CDI",31200,"69","ct_3","tr_6","P","QA","O",1172,"432d"
934,"CDI",19311,"01","ct_8","tr_5","C","PZ","O",1720,"422e"
939,"CDI",54710,"57","ct_9","tr_2","C","GZ","O",1771,"374d"
940,"CDI",8209,"74","ct_9","tr_5","C","GZ","O",811,"636a"
953,"CDD",8903,"01","ct_9","tr_1","C","GZ","O",1280,"554a"
956,"CDI",16121,"01","ct_9","tr_4","C","GZ","O",1820,"556a"
957,"CDI",27264,"71","ct_9","tr_5","P","CA","O",1455,"628b"
968,"CDI",23215,"69","ct_9","tr_1","C","KZ","O",1561,"463e"
977,"CDI",18080,"59","ct_9","tr_5","C","HZ","O",2200,"641a"
978,"CDI",21556,"01","ct_8","tr_5","C","QB","O",1709,"526a"
980,"CDI",24137,"01","ct_8","tr_3","P","QB","O",1568,"311d"
983,"CDI",23655,"71","ct_9","tr_3","C","MA","O",1712,"542a"
986,"CDI",21328,"69","ct_9","tr_6","C","CL","O",1914,"462e"
989,"CDI",24477,"01","ct_9","tr_1","C","KZ","O",1785,"542a"
993,"CDI",32915,"01","ct_3","tr_6","C","QA","O",1815,"451h"
995,"CDI",32520,"69","ct_9","tr_1","C","KZ","O",1127,"372c"
997,"AUT",19670,"01","ct_2","tr_4","C","OZ","O",1819,"524c"
1000,"CDI",28705,"01","ct_9","tr_5","C","MA","O",1794,"625c"
1011,"CDI",5560,"01","ct_9","tr_1","C","QA","O",446,"526e"
1012,"CDI",98545,"01","ct_9","tr_1","C","MA","O",1812,"386c"
1022,"CDI",26247,"71","ct_8","tr_5","C","OZ","O",2044,"461d"
1029,"CDI",28002,"01","ct_9","tr_5","C","CI","O",1948,"482a"
1030,"CDI",33628,"01","ct_8","tr_1","C","QB","O",1820,"434d"
1033,"CDI",15984,"02","ct_2","tr_5","P","QB","O",1426,"524c"
1049,"AUT",35767,"59","ct_1","tr_4","C","OZ","O",1669,"333a"
1052,"CDI",18780,"02","ct_9","tr_1","C","QA","O",1829,"526e"
1054,"CDI",4280,"02","ct_7","tr_0","N","QB","O",1387,"563a"
1056,"CDD",19781,"02","ct_3","tr_6","C","QA","O",1820,"525d"
1057,"CDI",19369,"02","ct_9","tr_1","C","PZ","O",1740,"542a"
1060,"CDI",19007,"02","ct_9","tr_1","C","GZ","O",1626,"634c"
1070,"CDI",15674,"60","ct_2","tr_5","P","OZ","O",1560,"524c"
1088,"CDI",21144,"02","ct_9","tr_6","C","CA","O",478,"653a"
1096,"CDI",24733,"02","ct_8","tr_6","C","QA","O",1820,"526a"
1101,"CDI",23716,"02","ct_9","tr_4","C","FZ","O",1669,"372c"
1102,"CDI",4165,"02",NA,NA,"C","TZ","O",592,"563c"
1103,"CDI",8130,"02","ct_9","tr_2","C","QA","O",560,"433a"
1132,"CDI",3459,"02","ct_9","tr_1","C","CM","O",338,"481b"
1142,"CDI",17896,"59","ct_9","tr_1","C","GZ","O",1495,"486d"
1146,"CDI",27541,"02","ct_3","tr_5","P","QB","O",1300,"333f"
1149,"CDI",20163,"02","ct_9","tr_5","C","CA","O",1857,"625a"
1151,"CDI",61007,"92","ct_9","tr_5","C","FZ","O",1750,"382c"
1161,"CDI",20104,"02","ct_3","tr_6","P","QA","O",363,"344a"
1167,"CDI",2507,"02","ct_9","tr_0","C","GZ","O",403,"553c"
1178,"CDI",24269,"95","ct_9","tr_3","C","FZ","O",1743,"621a"
1183,"CDI",31564,"02","ct_9","tr_6","C","KZ","O",1820,"467a"
1185,"CDI",18705,"02","ct_9","tr_3","C","GZ","O",1868,"551a"
1186,"CDI",21254,"60","ct_9","tr_2","C","HZ","O",1895,"676b"
1194,"AUT",8576,"02","ct_8","tr_3","P","SZ","X",1145,"676c"
1195,"CDI",21734,"02","ct_8","tr_4","C","QB","O",1577,"435b"
1201,"AUT",1893,"02",NA,NA,"C","TZ","O",227,"563a"
1226,"CDI",36270,"75","ct_9","tr_6","C","KZ","O",1820,"376e"
1236,"CDI",12470,"02","ct_8","tr_4","P","QB","O",1243,"563b"
1241,"CDI",39007,"60","ct_9","tr_6","C","CI","O",2070,"473b"
1252,"AUT",23468,"02","ct_2","tr_6","C","OZ","O",1879,"621f"
1253,"CDI",30831,"77","ct_9","tr_5","C","FZ","O",1573,"671c"
1265,"CDI",15499,"51","ct_9","tr_2","C","CM","O",1260,"628a"
1273,"AUT",8851,"02","ct_8","tr_6","C","QB","X",1820,"684b"
1275,"CDI",20777,"02","ct_9","tr_6","C","CA","O",1820,"625f"
1294,"CDI",18851,"51","ct_9","tr_0","C","NZ","O",1648,"631a"
1298,"CDD",17863,"02","ct_9","tr_1","C","QA","O",1528,"542a"
1304,"CDI",26366,"58","ct_9","tr_4","C","CF","O",1810,"475b"
1313,"CDI",2905,"02","ct_7","tr_0","N","QB","O",1149,"563a"
1316,"CDI",39058,"02","ct_9","tr_3","C","HZ","O",1831,"333c"
1324,"APP",11397,"02","ct_9","tr_0","C","NZ","A",1089,"684a"
1327,"CDI",51760,"60","ct_9","tr_6","C","CE","O",1820,"388a"
1331,"CDI",12506,"02","ct_9","tr_1","C","RZ","O",1400,"691b"
1336,"CDI",23713,"02","ct_8","tr_4","C","QB","O",1820,"461d"
1337,"CDI",4079,"02","ct_7","tr_1","N","QB","O",526,"563b"
1354,"CDI",5006,"54",NA,NA,"C","RZ","O",175,"637c"
1358,"CDI",59516,"52","ct_9","tr_6","C","CK","O",1771,"387a"
1368,"CDI",17405,"02","ct_9","tr_3","C","GZ","O",1376,"373d"
1372,"CDI",31792,"59","ct_9","tr_4","C","JC","O",1870,"388a"
1395,"CDI",34890,"02","ct_9","tr_5","C","HZ","O",1820,"461e"
1398,"CDI",8186,"93","ct_9","tr_6","C","GZ","O",621,"554f"
1409,"CDI",7013,"02",NA,NA,"C","TZ","O",808,"563c"
1412,"CDI",40709,"02","ct_8","tr_2","C","QB","O",1833,"434a"
1415,"CDI",3871,"02",NA,"tr_1","C","NZ","O",166,"676a"
1417,"CDI",2834,"02",NA,NA,"C","OZ","O",319,"524c"
1419,"CDI",13032,"02","ct_9","tr_3","P","IZ","O",1234,"468a"
1422,"TTP",3391,"02","ct_9","tr_1","N","NZ","O",338,"676c"
1423,"CDI",26102,"60","ct_9","tr_3","C","FZ","O",1719,"634c"
1438,"CDI",20931,"02","ct_9","tr_1","C","QA","O",1836,"526e"
1439,"CDI",25842,"80","ct_9","tr_4","C","KZ","O",1991,"467c"
1447,"CDI",15178,"02","ct_9","tr_0","C","KZ","O",1581,"641a"
1449,"CDI",30408,"02","ct_9","tr_4","C","CC","O",1771,"461f"
1451,"CDI",11102,"02","ct_9","tr_1","C","GZ","O",1206,"542a"
1453,"CDI",12996,"02","ct_9","tr_6","P","GZ","O",1642,"551a"
1479,"CDD",13598,"02","ct_9","tr_2","C","GZ","O",1801,"433d"
1488,"CDI",39168,"02","ct_8","tr_3","C","QB","O",1814,"434a"
1491,"CDI",4583,"02","ct_9","tr_1","C","PZ","O",488,"423a"
1504,"CDI",13950,"02","ct_2","tr_5","P","QB","O",1321,"524c"
1511,"CDD",11990,"02","ct_1","tr_4","C","PZ","O",1207,"422e"
1528,"CDI",21619,"02","ct_6","tr_1","C","FZ","O",1634,"632e"
1538,"CDI",23555,"02","ct_9","tr_1","C","FZ","O",1715,"633a"
1539,"CDI",18797,"02","ct_9","tr_2","C","GZ","O",1820,"433d"
1545,"CDI",6807,"02","ct_9","tr_5","P","MC","O",841,"643a"
1546,"CDI",19493,"02","ct_9","tr_4","C","QB","O",1926,"526a"
1549,"CDI",22758,"02","ct_8","tr_3","C","NZ","O",2028,"691a"
1552,"CDI",11192,"02","ct_7","tr_1","N","QB","O",3000,"563a"
1561,"CDI",22693,"02","ct_8","tr_2","C","KZ","O",1820,"467d"
1571,"CDI",14370,"02","ct_8","tr_1","P","SZ","O",1081,"435b"
1578,"CDI",10002,"02","ct_3","tr_6","P","QA","O",1092,"523d"
1595,"CDI",28133,"75","ct_8","tr_3","C","QB","O",1729,"423b"
1603,"CDI",10154,"02","ct_9","tr_2","C","CJ","O",1185,"674a"
1604,"CDI",18248,"60","ct_9","tr_6","C","NZ","O",1820,"541d"
1607,"CDI",19813,"02","ct_9","tr_2","C","NZ","O",1403,"543h"
1609,"CDI",27039,"02","ct_8","tr_3","C","MA","O",1820,"461d"
1610,"CDI",49247,"02","ct_9","tr_3","C","CM","O",1937,"386e"
1614,"CDI",28649,"02","ct_8","tr_4","C","PZ","O",1820,"422c"
1616,"CDI",19368,"02","ct_9","tr_6","C","HZ","O",1820,"652a"
1627,"TTP",4602,"02","ct_9","tr_1","N","NZ","O",458,"622a"
1635,"CDI",27320,"92","ct_9","tr_0","C","GZ","O",1495,"462e"
1637,"CDI",12059,"02","ct_9","tr_1","C","FZ","O",1533,"681a"
1640,"CDI",23155,"02","ct_9","tr_5","C","CJ","O",1787,"653a"
1644,"CDI",21929,"02","ct_9","tr_6","C","CL","O",1347,"628c"
1646,"CDI",13440,"02","ct_7","tr_1","N","QB","O",3000,"563a"
1651,"CDI",75921,"02","ct_9","tr_1","C","PZ","O",2210,"388b"
1654,"CDI",7041,"60","ct_7","tr_1","N","QB","O",589,"563b"
1655,"CDI",11398,"02","ct_9","tr_1","P","GZ","O",1257,"556a"
1668,"CDI",11143,"02","ct_9","tr_6","C","CA","O",1346,"674c"
1675,"AUT",63491,"02","ct_3","tr_6","C","QA","O",1819,"333f"
1681,"CDI",8748,"02","ct_9","tr_2","C","NZ","O",593,"542a"
1683,"CDI",24394,"59","ct_9","tr_4","C","CH","O",1761,"628a"
1698,"CDD",12561,"02","ct_9","tr_5","C","GZ","O",1508,"551a"
1705,"CDI",18422,"02","ct_9","tr_5","C","HZ","O",1722,"641a"
1706,"CDI",16089,"02","ct_8","tr_4","C","QB","O",1722,"526a"
1707,"CDI",21512,"77","ct_9","tr_5","C","GZ","O",1918,"551a"
1712,"CDI",19438,"02","ct_2","tr_5","C","QB","O",1818,"524c"
1716,"CDI",32924,"02","ct_9","tr_1","C","GZ","O",1701,"464a"
1717,"CDI",14586,"02","ct_9","tr_1","C","GZ","O",1414,"554a"
1721,"CDI",21705,"02","ct_8","tr_4","C","QB","O",1820,"526a"
1728,"CDI",19758,"02","ct_9","tr_1","C","CB","O",1799,"675a"
1735,"TOA",3169,"77","ct_9","tr_3","C","GZ","O",373,"552a"
1738,"CDI",9231,"80","ct_9","tr_1","C","CH","O",255,"474c"
1741,"CDI",17273,"02","ct_8","tr_4","C","QB","O",1800,"434e"
1746,"CDI",20030,"60","ct_9","tr_6","C","HZ","O",1820,"652a"
1756,"CDD",12870,"02","ct_3","tr_5","C","QB","O",1366,"523d"
1758,"CDI",9716,"02","ct_9","tr_4","C","QB","O",359,"526a"
1767,"CDI",21557,"51","ct_8","tr_4","P","QA","O",1710,"526a"
1768,"CDI",2269,"77","ct_9","tr_3","P","GZ","O",204,"551a"
1770,"AUT",31766,"60","ct_2","tr_1","C","PZ","O",1820,"421b"
1773,"CDD",19138,"02","ct_9","tr_3","P","FZ","O",1720,"681b"
1784,"CDI",15106,"02","ct_9","tr_4","C","QB","O",1330,"526a"
1786,"TTP",5871,"02","ct_9","tr_0","C","NZ","O",508,"676a"
1790,"CDI",19268,"02","ct_8","tr_4","C","QB","O",1799,"632k"
1795,"CDD",16032,"02","ct_2","tr_2","C","OZ","O",1840,"435b"
1801,"CDI",1822,"75",NA,NA,"C","FZ","O",169,"632g"
1805,"CDI",23140,"02","ct_9","tr_4","C","QB","O",1676,"526a"
1814,"CDI",20778,"02","ct_9","tr_3","C","QA","O",1996,"526e"
1823,"CDD",16503,"02","ct_9","tr_2","C","HZ","O",1446,"643a"
1827,"CDI",32568,"77","ct_8","tr_4","C","PZ","O",1820,"341a"
1828,"CDD",3790,"80","ct_9","tr_1","C","PZ","O",294,"542a"
1831,"CDI",12392,"02","ct_2","tr_5","P","QB","O",1321,"524c"
1837,"CDI",30129,"02","ct_8","tr_6","C","QA","O",1820,"431f"
1838,"CDI",19862,"80","ct_9","tr_1","C","KZ","O",1801,"543b"
1839,"TTP",15823,"51","ct_9","tr_1","N","NZ","O",1092,"632e"
1841,"CDI",27713,"02","ct_9","tr_1","C","LZ","O",1468,"463e"
1848,"AUT",2655,"02","ct_2","tr_6","P","QB","O",248,"563a"
1849,"CDD",5196,"51","ct_9","tr_1","P","GZ","O",595,"554e"
1862,"CDI",37340,"03","ct_9","tr_6","C","KZ","O",1820,"376c"
1868,"CDI",11576,"03","ct_9","tr_2","P","GZ","O",796,"461b"
1870,"CDI",14671,"03","ct_8","tr_3","C","QB","O",1450,"525d"
1872,"CDI",50894,"03","ct_9","tr_6","C","CA","O",1820,"374c"
1877,"APP",11844,"03","ct_9","tr_3","C","CK","A",1676,"673b"
1886,"CDI",17498,"03","ct_7","tr_1","N","QB","O",3000,"563a"
1890,"CDD",6194,"2A","ct_6","tr_1","N","IZ","O",834,"561c"
1896,"AUT",22232,"03","ct_3","tr_6","C","QA","O",1820,"526d"
1902,"CDI",45810,"03","ct_9","tr_6","C","CE","O",1827,"475b"
1910,"CDI",18149,"03","ct_8","tr_3","P","QB","O",1564,"526a"
1913,"CDI",22436,"03","ct_9","tr_1","C","QA","O",1908,"542a"
1921,"CDI",12848,"03","ct_9","tr_4","P","GZ","O",1540,"551a"
1934,"TOA",6338,"03","ct_2","tr_2","P","OZ","O",678,"525a"
1942,"CDI",13041,"63","ct_9","tr_1","C","PZ","O",1488,"423a"
1954,"CDI",26245,"03","ct_9","tr_2","C","GZ","O",1808,"462b"
1959,"CDI",7697,"03","ct_9","tr_2","C","GZ","O",836,"554e"
1975,"CDI",4328,"03","ct_9","tr_0","C","NZ","O",450,"675c"
1976,"APP",8693,"03","ct_9","tr_1","C","NZ","A",1189,"631a"
1982,"CDD",7286,"2A","ct_6","tr_1","N","IZ","O",834,"561c"
1993,"CDI",10933,"63","ct_8","tr_5","P","QA","O",630,"431f"
